Tick Block StakeCount0 TotalStakeQspWei0 totalStakers0 DepositQspWei0 PoolState0 PoolSizeQspWei0 MinStakeStartBlock0 StakeCount1 TotalStakeQspWei1 totalStakers1 DepositQspWei1 PoolState1 PoolSizeQspWei1 MinStakeStartBlock1 StakeCount2 TotalStakeQspWei2 totalStakers2 DepositQspWei2 PoolState2 PoolSizeQspWei2 MinStakeStartBlock2 StakeCount3 TotalStakeQspWei3 totalStakers3 DepositQspWei3 PoolState3 PoolSizeQspWei3 MinStakeStartBlock3 StakeCount4 TotalStakeQspWei4 totalStakers4 DepositQspWei4 PoolState4 PoolSizeQspWei4 MinStakeStartBlock4 ActionOfAgent0 WithdrawInterestAgent0 PoolId WithdrawInterestAgent0 PoolId WithdrawInterestAgent0 PoolId WithdrawInterestAgent0 PoolId WithdrawInterestAgent0 PoolId ActionOfAgent1 WithdrawInterestAgent1 PoolId WithdrawInterestAgent1 PoolId WithdrawInterestAgent1 PoolId WithdrawInterestAgent1 PoolId WithdrawInterestAgent1 PoolId ActionOfAgent2 WithdrawInterestAgent2 PoolId WithdrawInterestAgent2 PoolId WithdrawInterestAgent2 PoolId WithdrawInterestAgent2 PoolId WithdrawInterestAgent2 PoolId ActionOfAgent3 WithdrawInterestAgent3 PoolId WithdrawInterestAgent3 PoolId WithdrawInterestAgent3 PoolId WithdrawInterestAgent3 PoolId WithdrawInterestAgent3 PoolId ActionOfAgent4 WithdrawInterestAgent4 PoolId WithdrawInterestAgent4 PoolId WithdrawInterestAgent4 PoolId WithdrawInterestAgent4 PoolId WithdrawInterestAgent4 PoolId Method0 Amount0 PoolId0 Error0 Method1 Amount1 PoolId1 Error1 Method2 Amount2 PoolId2 Error2 Method3 Amount3 PoolId3 Error3 Method4 Amount4 PoolId4 Error4 RewardAgent0 BalanceAgent0 RewardAgent1 BalanceAgent1 RewardAgent2 BalanceAgent2 RewardAgent3 BalanceAgent3 RewardAgent4 BalanceAgent4
1 10352 0 0 2 150000000000000000000 1 0 0 0 0 2 2e+22 1 0 0 0 0 2 1e+22 1 0 0 0 0 2 5e+21 1 0 0 0 0 2 1e+22 1 0 0 0 0 0 0 1 0 2 0 3 0 4 8 0 0 0 1 0 2 0 3 0 4 0 0 0 0 1 0 2 0 3 0 4 6 0 0 0 1 0 2 0 3 0 4 4 0 0 0 1 0 2 0 3 0 4 stakeFunds 100000000000000000000 0 0 stakeFunds 100000000000000000000 4 0 stakeFunds 100000000000000000000 0 0 stakeFunds 100000000000000000000 3 0 stakeFunds 100000000000000000000 2 0 500000000000000000 1.752e+21 -2.0003998e+23 1.593e+21 500000000000000000 1.279e+21 2000000000000000000 1.584e+21 73333333333333330 1.367e+21
2 10362 2 200000000000000000000 2 150000000000000000000 4 200000000000000000000 10358 0 0 2 2e+22 1 0 0 1 100000000000000000000 2 1e+22 4 100000000000000000000 10362 1 100000000000000000000 2 5e+21 4 100000000000000000000 10361 1 100000000000000000000 2 1e+22 4 100000000000000000000 10359 8 1 0 0 1 1 2 1 3 1 4 4 1 0 0 1 1 2 1 3 1 4 0 1 0 0 1 1 2 1 3 1 4 6 1 0 0 1 1 2 1 3 1 4 4 1 0 0 1 1 2 1 3 1 4 stakeFunds 100000000000000000000 4 0 stakeFunds 100000000000000000000 2 0 stakeFunds 100000000000000000000 0 0 stakeFunds 100000000000000000000 3 0 stakeFunds 100000000000000000000 2 0 -2.0001999e+23 1.652e+21 36666666666666664 1.493e+21 55555555555555560 1.179e+21 1000000000000000000 1.514e+21 36666666666666664 1.267e+21
3 10401 3 300000000000000000000 2 150000000000000000000 4 300000000000000000000 10358 0 0 2 2e+22 1 0 0 3 300000000000000000000 2 1e+22 4 300000000000000000000 10362 2 200000000000000000000 2 4.97e+21 4 200000000000000000000 10361 2 200000000000000000000 2 1e+22 4 200000000000000000000 10359 6 1 0 0 1 1 2 1 3 1 4 6 1 0 0 1 1 2 1 3 1 4 6 1 0 0 1 1 2 1 3 1 4 4 1 0 0 1 1 2 1 3 1 4 8 1 0 0 1 1 2 1 3 1 4 stakeFunds 100000000000000000000 3 0 stakeFunds 100000000000000000000 3 0 stakeFunds 100000000000000000000 3 0 stakeFunds 100000000000000000000 2 0 stakeFunds 100000000000000000000 4 0 222222222222222240 1.5586666666666668e+21 222222222222222240 1.393e+21 222222222222222240 1.089e+21 2619047619047619 1.479e+21 -2.0000444222222222e+23 1.167e+21
4 10431 3 300000000000000000000 2 133333333333333330000 4 300000000000000000000 10358 0 0 2 2e+22 1 0 0 4 400000000000000000000 2 1e+22 4 400000000000000000000 10362 5 500000000000000000000 2 4.905e+21 4 500000000000000000000 10361 3 300000000000000000000 2 1e+22 4 300000000000000000000 10359 0 1 0 0 1 1 2 1 3 1 4 2 1 0 0 1 1 2 1 3 1 4 4 1 0 0 1 1 2 1 3 1 4 4 1 0 0 1 1 2 1 3 1 4 8 1 0 0 1 1 2 1 3 1 4 stakeFunds 100000000000000000000 0 0 stakeFunds 100000000000000000000 1 0 stakeFunds 100000000000000000000 2 0 stakeFunds 100000000000000000000 2 0 stakeFunds 100000000000000000000 4 0 17857142857142858 1.464e+21 125000000000000000 1.297e+21 1128205128205128.2 1.005e+21 1128205128205128.2 1.403e+21 -2.0000142785714287e+23 1.067e+21
5 10461 4 400000000000000000000 2 120000000000000000000 4 400000000000000000000 10358 1 100000000000000000000 2 2e+22 4 700000000000000000000 10458 6 600000000000000000000 2 1e+22 4 600000000000000000000 10362 5 500000000000000000000 2 4.869e+21 4 500000000000000000000 10361 4 400000000000000000000 2 1e+22 4 400000000000000000000 10359 2 1 0 1 1 1 2 1 3 1 4 8 1 0 1 1 1 2 1 3 1 4 0 1 0 1 1 1 2 1 3 1 4 6 1 0 1 1 1 2 1 3 1 4 6 1 0 1 1 1 2 1 3 1 4 stakeFunds 100000000000000000000 1 0 stakeFunds 100000000000000000000 4 0 stakeFunds 100000000000000000000 0 0 stakeFunds 100000000000000000000 3 0 stakeFunds 100000000000000000000 3 0 62500000000000000 1.381e+21 -2.000006150769231e+23 1.209e+21 7692307692307693 924500000000000000000 15873015873015872 1.331e+21 15873015873015872 967000000000000000000
6 10496 5 500000000000000000000 2 107500000000000000000 4 500000000000000000000 10358 2 200000000000000000000 2 2e+22 4 1.025e+21 10458 6 600000000000000000000 2 1e+22 4 600000000000000000000 10362 7 700000000000000000000 2 4.805e+21 4 700000000000000000000 10361 5 500000000000000000000 2 1e+22 4 500000000000000000000 10359 6 1 0 1 1 1 2 1 3 1 4 2 1 0 1 1 1 2 1 3 1 4 0 1 0 1 1 1 2 1 3 1 4 0 1 0 1 1 1 2 1 3 1 4 0 1 0 1 1 1 2 1 3 1 4 stakeFunds 100000000000000000000 3 0 stakeFunds 100000000000000000000 1 0 stakeFunds 100000000000000000000 0 0 stakeFunds 100000000000000000000 0 0 stakeFunds 100000000000000000000 0 0 5813953488372093 1.297e+21 13888888888888888 1.1203658536585366e+21 3968253968253968 840500000000000000000 3968253968253968 1.2567142857142858e+21 3968253968253968 875809523809523900000
7 10531 8 800000000000000000000 2 95500000000000000000 4 800000000000000000000 10358 3 300000000000000000000 2 1.9998634146341463e+22 4 1.4625e+21 10458 6 600000000000000000000 2 9.998333333333334e+21 4 600000000000000000000 10362 8 800000000000000000000 2 4.742142857142858e+21 4 800000000000000000000 10361 5 500000000000000000000 2 1e+22 4 500000000000000000000 10359 4 1 0 1 1 1 2 1 3 1 4 8 1 0 1 1 1 2 1 3 1 4 4 1 0 1 1 1 2 1 3 1 4 4 1 0 1 1 1 2 1 3 1 4 6 1 0 1 1 1 2 1 3 1 4 stakeFunds 100000000000000000000 2 0 stakeFunds 100000000000000000000 4 0 stakeFunds 100000000000000000000 2 0 stakeFunds 100000000000000000000 2 0 stakeFunds 100000000000000000000 3 0 337941628264208.94 1.2111944444444444e+21 -2.000003173015873e+23 1.0317397852824682e+21 337941628264208.94 756750000000000000000 337941628264208.94 1.1842142857142857e+21 3898635477582846.5 787476190476190500000
8 10566 8 800000000000000000000 2 81750000000000000000 4 800000000000000000000 10358 3 300000000000000000000 2 1.9997232436939753e+22 4 1.4625e+21 10458 9 900000000000000000000 2 9.995e+21 4 920000012000000000000 10362 9 900000000000000000000 2 4.679642857142857e+21 4 900000000000000000000 10361 6 600000000000000000000 2 1e+22 4 600000000000000000000 10359 8 1 0 1 1 1 2 1 3 1 4 8 1 0 1 1 1 2 1 3 1 4 0 1 0 1 1 1 2 1 3 1 4 6 1 0 1 1 1 2 1 3 1 4 4 1 0 1 1 1 2 1 3 1 4 stakeFunds 100000000000000000000 4 0 stakeFunds 100000000000000000000 4 0 stakeFunds 100000000000000000000 0 0 stakeFunds 100000000000000000000 3 0 stakeFunds 100000000000000000000 2 0 -2.0000018423963136e+23 1.1317499999999999e+21 -2.0000018423963136e+23 940115853658536500000 974658869395711.6 673277777777777800000 2739726027397260.5 1.1098845755551804e+21 100456621004566.22 703309523809523900000
9 10601 9 900000000000000000000 2 64250000000000000000 4 900000000000000000000 10358 3 300000000000000000000 2 1.9996634146341464e+22 4 1.4625e+21 10458 10 1e+21 2 9.993913043492438e+21 4 1.02000001201e+21 10362 10 1e+21 2 4.6118650793650794e+21 4 1e+21 10361 8 800000000000000000000 2 1e+22 4 800000000000000000000 10359 8 1 0 1 1 1 2 1 3 1 4 6 1 0 1 1 1 2 1 3 1 4 2 1 0 1 1 1 2 1 3 1 4 8 1 0 1 1 1 2 1 3 1 4 4 1 0 1 1 1 2 1 3 1 4 stakeFunds 100000000000000000000 4 0 stakeFunds 100000000000000000000 3 0 stakeFunds 100000000000000000000 1 0 stakeFunds 100000000000000000000 4 0 stakeFunds 100000000000000000000 2 0 -2.000000779337232e+23 1.0506388888888889e+21 1998001998001998 848671409214092100000 4464285714285714.5 590147058811985800000 -2.000000779337232e+23 1.0380871899227218e+21 73260073260073.27 618420634920635000000
10 10636 9 900000000000000000000 2 47583333333333340000 4 900000000000000000000 10358 4 400000000000000000000 2 1.9994634146341464e+22 4 1.5625e+21 10458 11 1.1e+21 2 9.9919522592018e+21 4 1.120000012011e+21 10362 11 1.1e+21 2 4.544865079365079e+21 4 1.1e+21 10361 10 1e+21 2 1e+22 4 1e+21 10359 4 1 0 1 1 1 2 1 3 1 4 6 1 0 1 1 1 2 1 3 1 4 8 1 0 1 1 1 2 1 3 1 4 8 1 0 1 1 1 2 1 3 1 4 6 1 0 1 1 1 2 1 3 1 4 stakeFunds 100000000000000000000 2 0 stakeFunds 100000000000000000000 3 0 stakeFunds 100000000000000000000 4 0 stakeFunds 100000000000000000000 4 0 stakeFunds 100000000000000000000 3 0 55055055055055.06 967115494949495000000 1501501501501501.5 757749227395910300000 -2.0000003994005994e+23 505399584064511000000 -2.0000003994005994e+23 965763957599489500000 1501501501501501.5 534262987003411900000
