Tick Block StakeCount0 TotalStakeQspWei0 totalStakers0 DepositQspWei0 PoolState0 PoolSizeQspWei0 MinStakeStartBlock0 StakeCount1 TotalStakeQspWei1 totalStakers1 DepositQspWei1 PoolState1 PoolSizeQspWei1 MinStakeStartBlock1 StakeCount2 TotalStakeQspWei2 totalStakers2 DepositQspWei2 PoolState2 PoolSizeQspWei2 MinStakeStartBlock2 StakeCount3 TotalStakeQspWei3 totalStakers3 DepositQspWei3 PoolState3 PoolSizeQspWei3 MinStakeStartBlock3 StakeCount4 TotalStakeQspWei4 totalStakers4 DepositQspWei4 PoolState4 PoolSizeQspWei4 MinStakeStartBlock4 ActionOfAgent0 WithdrawInterestAgent0 PoolId WithdrawInterestAgent0 PoolId WithdrawInterestAgent0 PoolId WithdrawInterestAgent0 PoolId WithdrawInterestAgent0 PoolId ActionOfAgent1 WithdrawInterestAgent1 PoolId WithdrawInterestAgent1 PoolId WithdrawInterestAgent1 PoolId WithdrawInterestAgent1 PoolId WithdrawInterestAgent1 PoolId ActionOfAgent2 WithdrawInterestAgent2 PoolId WithdrawInterestAgent2 PoolId WithdrawInterestAgent2 PoolId WithdrawInterestAgent2 PoolId WithdrawInterestAgent2 PoolId ActionOfAgent3 WithdrawInterestAgent3 PoolId WithdrawInterestAgent3 PoolId WithdrawInterestAgent3 PoolId WithdrawInterestAgent3 PoolId WithdrawInterestAgent3 PoolId ActionOfAgent4 WithdrawInterestAgent4 PoolId WithdrawInterestAgent4 PoolId WithdrawInterestAgent4 PoolId WithdrawInterestAgent4 PoolId WithdrawInterestAgent4 PoolId Method0 Amount0 PoolId0 Error0 Method1 Amount1 PoolId1 Error1 Method2 Amount2 PoolId2 Error2 Method3 Amount3 PoolId3 Error3 Method4 Amount4 PoolId4 Error4 RewardAgent0 BalanceAgent0 RewardAgent1 BalanceAgent1 RewardAgent2 BalanceAgent2 RewardAgent3 BalanceAgent3 RewardAgent4 BalanceAgent4
1 24782 0 0 2 150000000000000000000 1 0 0 0 0 2 2e+22 1 0 0 0 0 2 1e+22 1 0 0 0 0 2 5e+21 1 0 0 0 0 2 1e+22 1 0 0 8 0 0 0 1 0 2 0 3 0 4 2 0 0 0 1 0 2 0 3 0 4 4 0 0 0 1 0 2 0 3 0 4 4 0 0 0 1 0 2 0 3 0 4 2 0 0 0 1 0 2 0 3 0 4 stakeFunds 100000000000000000000 4 0 stakeFunds 100000000000000000000 1 0 stakeFunds 100000000000000000000 2 0 stakeFunds 100000000000000000000 2 0 stakeFunds 100000000000000000000 1 0 -2.0003998e+23 1.752e+21 125000000000000000 1.593e+21 73333333333333330 1.279e+21 73333333333333330 1.584e+21 125000000000000000 1.367e+21
2 24792 0 0 2 150000000000000000000 1 0 0 2 200000000000000000000 2 2e+22 4 200000000000000000000 24789 2 200000000000000000000 2 1e+22 4 200000000000000000000 24790 0 0 2 5e+21 1 0 0 1 100000000000000000000 2 1e+22 4 100000000000000000000 24788 8 0 0 1 1 1 2 0 3 1 4 8 0 0 1 1 1 2 0 3 1 4 6 0 0 1 1 1 2 0 3 1 4 2 0 0 1 1 1 2 0 3 1 4 0 0 0 1 1 1 2 0 3 1 4 stakeFunds 100000000000000000000 4 0 stakeFunds 100000000000000000000 4 0 stakeFunds 100000000000000000000 3 0 stakeFunds 100000000000000000000 1 0 stakeFunds 100000000000000000000 0 0 -2.0001999e+23 1.652e+21 -2.0001999e+23 1.493e+21 2000000000000000000 1.179e+21 13888888888888888 1.484e+21 500000000000000000 1.267e+21
3 24826 1 100000000000000000000 2 150000000000000000000 4 100000000000000000000 24817 3 300000000000000000000 2 2e+22 4 300000000000000000000 24789 2 200000000000000000000 2 1e+22 4 200000000000000000000 24790 1 100000000000000000000 2 5e+21 4 100000000000000000000 24815 3 300000000000000000000 2 1e+22 4 300000000000000000000 24788 8 1 0 1 1 1 2 1 3 1 4 0 1 0 1 1 1 2 1 3 1 4 2 1 0 1 1 1 2 1 3 1 4 6 1 0 1 1 1 2 1 3 1 4 0 1 0 1 1 1 2 1 3 1 4 stakeFunds 100000000000000000000 4 0 stakeFunds 100000000000000000000 0 0 stakeFunds 100000000000000000000 1 0 stakeFunds 100000000000000000000 3 0 stakeFunds 100000000000000000000 0 0 -2.0000142785714287e+23 1.552e+21 250000000000000000 1.3936666666666668e+21 4464285714285714.5 1.129e+21 1000000000000000000 1.384e+21 250000000000000000 1.1776666666666666e+21
4 24861 3 300000000000000000000 2 140000000000000000000 4 400000000000000000000 24817 4 400000000000000000000 2 1.9998666666666667e+22 4 400000000000000000000 24789 2 200000000000000000000 2 1e+22 4 200000000000000000000 24790 2 200000000000000000000 2 4.95e+21 4 200000000000000000000 24815 4 400000000000000000000 2 1e+22 4 400000000000000000000 24788 0 1 0 1 1 1 2 1 3 1 4 8 1 0 1 1 1 2 1 3 1 4 0 1 0 1 1 1 2 1 3 1 4 0 1 0 1 1 1 2 1 3 1 4 0 1 0 1 1 1 2 1 3 1 4 stakeFunds 100000000000000000000 0 0 stakeFunds 100000000000000000000 4 0 stakeFunds 100000000000000000000 0 0 stakeFunds 100000000000000000000 0 0 stakeFunds 100000000000000000000 0 0 17857142857142858 1.452e+21 -2.000006150769231e+23 1.2941666666666666e+21 17857142857142858 1.064e+21 17857142857142858 1.3045e+21 17857142857142858 1.0856666666666666e+21
5 24896 7 700000000000000000000 2 132500000000000000000 4 800000000000000000000 24817 4 400000000000000000000 2 1.999716666666667e+22 4 400000000000000000000 24789 2 200000000000000000000 2 1e+22 4 200000000000000000000 24790 2 200000000000000000000 2 4.895e+21 4 200000000000000000000 24815 5 500000000000000000000 2 1e+22 4 500000000000000000000 24788 2 1 0 1 1 1 2 1 3 1 4 2 1 0 1 1 1 2 1 3 1 4 8 1 0 1 1 1 2 1 3 1 4 0 1 0 1 1 1 2 1 3 1 4 0 1 0 1 1 1 2 1 3 1 4 stakeFunds 100000000000000000000 1 0 stakeFunds 100000000000000000000 1 0 stakeFunds 100000000000000000000 4 0 stakeFunds 100000000000000000000 0 0 stakeFunds 100000000000000000000 0 0 1923076923076923.2 1.352e+21 1923076923076923.2 1.1991666666666666e+21 -2.000003173015873e+23 999500000000000000000 1453488372093023.2 1.24125e+21 1453488372093023.2 992416666666666700000
6 24931 9 900000000000000000000 2 120000000000000000000 4 1e+21 24817 6 600000000000000000000 2 1.9995666666666666e+22 4 4.0453125e+21 24789 2 200000000000000000000 2 1e+22 4 200000000000000000000 24790 2 200000000000000000000 2 4.825e+21 4 200000000000000000000 24815 6 600000000000000000000 2 1e+22 4 600000000000000000000 24788 4 1 0 1 1 1 2 1 3 1 4 2 1 0 1 1 1 2 1 3 1 4 0 1 0 1 1 1 2 1 3 1 4 2 1 0 1 1 1 2 1 3 1 4 6 1 0 1 1 1 2 1 3 1 4 stakeFunds 100000000000000000000 2 0 stakeFunds 100000000000000000000 1 0 stakeFunds 100000000000000000000 0 0 stakeFunds 100000000000000000000 1 0 stakeFunds 100000000000000000000 3 0 8148148148148148 1.254e+21 576036866359447 1.1032161066048667e+21 684931506849315.1 941549439938200100000 576036866359447 1.1832994399382001e+21 222222222222222240 897466106604866800000
7 24966 10 1e+21 2 105000000000000000000 4 1.1e+21 24817 8 800000000000000000000 2 1.9995468906913866e+22 4 5.95390625e+21 24789 3 300000000000000000000 2 9.99e+21 4 320120000000000000000 24790 3 300000000000000000000 2 4.755e+21 4 300000000000000000000 24815 6 600000000000000000000 2 1e+22 4 600000000000000000000 24788 2 1 0 1 1 1 2 1 3 1 4 0 1 0 1 1 1 2 1 3 1 4 6 1 0 1 1 1 2 1 3 1 4 6 1 0 1 1 1 2 1 3 1 4 2 1 0 1 1 1 2 1 3 1 4 stakeFunds 100000000000000000000 1 0 stakeFunds 100000000000000000000 0 0 stakeFunds 100000000000000000000 3 0 stakeFunds 100000000000000000000 3 0 stakeFunds 100000000000000000000 1 0 243664717348927.88 1.1557173837840417e+21 499500499500499.5 1.0054840981593036e+21 71428571428571430 866734546481921000000 71428571428571430 1.109393637391012e+21 243664717348927.88 820530001027375600000
8 25001 11 1.1e+21 2 91363636363636360000 4 1.2e+21 24817 10 1e+21 2 1.9994110030126042e+22 4 1.576474609375e+22 24789 3 300000000000000000000 2 9.99e+21 4 320120000000000000000 24790 5 500000000000000000000 2 4.691666666666667e+21 4 500000000000000000000 24815 6 600000000000000000000 2 1e+22 4 600000000000000000000 24788 2 1 0 1 1 1 2 1 3 1 4 6 1 0 1 1 1 2 1 3 1 4 2 1 0 1 1 1 2 1 3 1 4 4 1 0 1 1 1 2 1 3 1 4 6 1 0 1 1 1 2 1 3 1 4 stakeFunds 100000000000000000000 1 0 stakeFunds 100000000000000000000 3 0 stakeFunds 100000000000000000000 1 0 stakeFunds 100000000000000000000 2 0 stakeFunds 100000000000000000000 3 0 124875124875124.88 1.0573840504507084e+21 15873015873015872 909216759998314300000 124875124875124.88 790067879815254200000 2619047619047619 1.0347523437939539e+21 15873015873015872 740363334360708800000
9 25036 11 1.1e+21 2 73863636363636360000 4 1.2e+21 24817 12 1.2e+21 2 1.9993685328550756e+22 4 2.4614501953125e+22 24789 4 400000000000000000000 2 9.99e+21 4 420120000000000000000 24790 7 700000000000000000000 2 4.635666666666667e+21 4 700000000000000000000 24815 6 600000000000000000000 2 1e+22 4 600000000000000000000 24788 6 1 0 1 1 1 2 1 3 1 4 2 1 0 1 1 1 2 1 3 1 4 6 1 0 1 1 1 2 1 3 1 4 8 1 0 1 1 1 2 1 3 1 4 2 1 0 1 1 1 2 1 3 1 4 stakeFunds 100000000000000000000 3 0 stakeFunds 100000000000000000000 1 0 stakeFunds 100000000000000000000 3 0 stakeFunds 100000000000000000000 4 0 stakeFunds 100000000000000000000 1 0 5813953488372093 959566720727734000000 72296124927703.88 817228981658484300000 5813953488372093 712576005106612300000 -2.0000018423963136e+23 958101927710003200000 72296124927703.88 664657653996499000000
10 25071 11 1.1e+21 2 54696969696969695000 4 1.2e+21 24817 14 1.4e+21 2 1.999250507443703e+22 4 7.3469378662109375e+22 24789 4 400000000000000000000 2 9.99e+21 4 420120000000000000000 24790 9 900000000000000000000 2 4.575666666666667e+21 4 900000000000000000000 24815 7 700000000000000000000 2 1e+22 4 700000000000000000000 24788 0 1 0 1 1 1 2 1 3 1 4 2 1 0 1 1 1 2 1 3 1 4 8 1 0 1 1 1 2 1 3 1 4 0 1 0 1 1 1 2 1 3 1 4 0 1 0 1 1 1 2 1 3 1 4 stakeFunds 100000000000000000000 0 0 stakeFunds 100000000000000000000 1 0 stakeFunds 100000000000000000000 4 0 stakeFunds 100000000000000000000 0 0 stakeFunds 100000000000000000000 0 0 375375375375375.4 862648189813714700000 45537340619307.83 730043211697718000000 -2.0000011622093025e+23 634803671773952700000 375375375375375.4 878540477791269300000 375375375375375.4 585375631067382500000
