Tick Block StakeCount0 TotalStakeQspWei0 totalStakers0 DepositQspWei0 PoolState0 PoolSizeQspWei0 MinStakeStartBlock0 StakeCount1 TotalStakeQspWei1 totalStakers1 DepositQspWei1 PoolState1 PoolSizeQspWei1 MinStakeStartBlock1 StakeCount2 TotalStakeQspWei2 totalStakers2 DepositQspWei2 PoolState2 PoolSizeQspWei2 MinStakeStartBlock2 StakeCount3 TotalStakeQspWei3 totalStakers3 DepositQspWei3 PoolState3 PoolSizeQspWei3 MinStakeStartBlock3 StakeCount4 TotalStakeQspWei4 totalStakers4 DepositQspWei4 PoolState4 PoolSizeQspWei4 MinStakeStartBlock4 ActionOfAgent0 WithdrawInterestAgent0 PoolId WithdrawInterestAgent0 PoolId WithdrawInterestAgent0 PoolId WithdrawInterestAgent0 PoolId WithdrawInterestAgent0 PoolId ActionOfAgent1 WithdrawInterestAgent1 PoolId WithdrawInterestAgent1 PoolId WithdrawInterestAgent1 PoolId WithdrawInterestAgent1 PoolId WithdrawInterestAgent1 PoolId ActionOfAgent2 WithdrawInterestAgent2 PoolId WithdrawInterestAgent2 PoolId WithdrawInterestAgent2 PoolId WithdrawInterestAgent2 PoolId WithdrawInterestAgent2 PoolId ActionOfAgent3 WithdrawInterestAgent3 PoolId WithdrawInterestAgent3 PoolId WithdrawInterestAgent3 PoolId WithdrawInterestAgent3 PoolId WithdrawInterestAgent3 PoolId ActionOfAgent4 WithdrawInterestAgent4 PoolId WithdrawInterestAgent4 PoolId WithdrawInterestAgent4 PoolId WithdrawInterestAgent4 PoolId WithdrawInterestAgent4 PoolId Method0 Amount0 PoolId0 Error0 Method1 Amount1 PoolId1 Error1 Method2 Amount2 PoolId2 Error2 Method3 Amount3 PoolId3 Error3 Method4 Amount4 PoolId4 Error4 RewardAgent0 BalanceAgent0 RewardAgent1 BalanceAgent1 RewardAgent2 BalanceAgent2 RewardAgent3 BalanceAgent3 RewardAgent4 BalanceAgent4
1 5206 0 0 2 150000000000000000000 1 0 0 0 0 2 2e+22 1 0 0 0 0 2 1e+22 1 0 0 0 0 2 5e+21 1 0 0 0 0 2 1e+22 1 0 0 6 0 0 0 1 0 2 0 3 0 4 4 0 0 0 1 0 2 0 3 0 4 8 0 0 0 1 0 2 0 3 0 4 0 0 0 0 1 0 2 0 3 0 4 4 0 0 0 1 0 2 0 3 0 4 stakeFunds 100000000000000000000 3 0 stakeFunds 100000000000000000000 2 0 stakeFunds 100000000000000000000 4 0 stakeFunds 100000000000000000000 0 0 stakeFunds 100000000000000000000 2 0 2000000000000000000 1.752e+21 73333333333333360 1.593e+21 -2.0003998e+23 1.279e+21 500000000000000000 1.584e+21 73333333333333360 1.367e+21
2 5216 1 100000000000000000000 2 150000000000000000000 4 100000000000000000000 5215 0 0 2 2e+22 1 0 0 2 200000000000000000000 2 1e+22 4 200000000000000000000 5213 1 100000000000000000000 2 5e+21 4 100000000000000000000 5212 1 100000000000000000000 2 1e+22 4 100000000000000000000 5214 6 1 0 0 1 1 2 1 3 1 4 0 1 0 0 1 1 2 1 3 1 4 8 1 0 0 1 1 2 1 3 1 4 8 1 0 0 1 1 2 1 3 1 4 4 1 0 0 1 1 2 1 3 1 4 stakeFunds 100000000000000000000 3 0 stakeFunds 100000000000000000000 0 0 stakeFunds 100000000000000000000 4 0 stakeFunds 100000000000000000000 4 0 stakeFunds 100000000000000000000 2 0 1000000000000000000 1.662e+21 250000000000000000 1.493e+21 -2.0001999e+23 1.179e+21 -2.0001999e+23 1.484e+21 8148148148148173 1.267e+21
3 5255 2 200000000000000000000 2 150000000000000000000 4 200000000000000000000 5215 0 0 2 2e+22 1 0 0 3 300000000000000000000 2 1e+22 4 300000000000000000000 5213 2 200000000000000000000 2 4.99e+21 4 200000000000000000000 5212 3 300000000000000000000 2 1e+22 4 300000000000000000000 5214 6 1 0 0 1 1 2 1 3 1 4 6 1 0 0 1 1 2 1 3 1 4 0 1 0 0 1 1 2 1 3 1 4 0 1 0 0 1 1 2 1 3 1 4 4 1 0 0 1 1 2 1 3 1 4 stakeFunds 100000000000000000000 3 0 stakeFunds 100000000000000000000 3 0 stakeFunds 100000000000000000000 0 0 stakeFunds 100000000000000000000 0 0 stakeFunds 100000000000000000000 2 0 222222222222222240 1.617e+21 222222222222222240 1.393e+21 55555555555555560 1.079e+21 55555555555555560 1.394e+21 2619047619047644 1.167e+21
4 5285 4 400000000000000000000 2 140000000000000000000 4 400000000000000000000 5215 0 0 2 2e+22 1 0 0 4 400000000000000000000 2 1e+22 4 400010000000000000000 5213 4 400000000000000000000 2 4.935e+21 4 400000000000000000000 5212 3 300000000000000000000 2 1e+22 4 300000000000000000000 5214 8 1 0 0 1 1 2 1 3 1 4 2 1 0 0 1 1 2 1 3 1 4 6 1 0 0 1 1 2 1 3 1 4 2 1 0 0 1 1 2 1 3 1 4 2 1 0 0 1 1 2 1 3 1 4 stakeFunds 100000000000000000000 4 0 stakeFunds 100000000000000000000 1 0 stakeFunds 100000000000000000000 3 0 stakeFunds 100000000000000000000 1 0 stakeFunds 100000000000000000000 1 0 -2.0000142785714287e+23 1.5494999999999999e+21 125000000000000000 1.303e+21 30769230769230772 979000000000000000000 125000000000000000 1.299e+21 125000000000000000 1.067e+21
5 5315 4 400000000000000000000 2 130000000000000000000 4 400000000000000000000 5215 3 300000000000000000000 2 2e+22 4 1.2375e+21 5312 4 400000000000000000000 2 1e+22 4 400010000000000000000 5213 5 500000000000000000000 2 4.8975e+21 4 500000000000000000000 5212 4 400000000000000000000 2 1e+22 4 400000000000000000000 5214 4 1 0 1 1 1 2 1 3 1 4 4 1 0 1 1 1 2 1 3 1 4 4 1 0 1 1 1 2 1 3 1 4 6 1 0 1 1 1 2 1 3 1 4 6 1 0 1 1 1 2 1 3 1 4 stakeFunds 100000000000000000000 2 0 stakeFunds 100000000000000000000 2 0 stakeFunds 100000000000000000000 2 0 stakeFunds 100000000000000000000 3 0 stakeFunds 100000000000000000000 3 0 1128205128205153.2 1.4854999999999999e+21 1128205128205153.2 1.2174999999999999e+21 1128205128205153.2 890000000000000000000 15873015873015872 1.2065e+21 15873015873015872 967000000000000000000
6 5350 4 400000000000000000000 2 115000000000000000000 4 400000000000000000000 5215 3 300000000000000000000 2 2e+22 4 1.2375e+21 5312 7 700000000000000000000 2 1e+22 4 700011100000000000000 5213 7 700000000000000000000 2 4.8435e+21 4 700000000000000000000 5212 4 400000000000000000000 2 1e+22 4 400000000000000000000 5214 4 1 0 1 1 1 2 1 3 1 4 6 1 0 1 1 1 2 1 3 1 4 0 1 0 1 1 1 2 1 3 1 4 0 1 0 1 1 1 2 1 3 1 4 8 1 0 1 1 1 2 1 3 1 4 stakeFunds 100000000000000000000 2 0 stakeFunds 100000000000000000000 3 0 stakeFunds 100000000000000000000 0 0 stakeFunds 100000000000000000000 0 0 stakeFunds 100000000000000000000 4 0 213178294573668.4 1.4154999999999999e+21 5813953488372093 1.1336313131313132e+21 7692307692307693 805000000000000000000 7692307692307693 1.1223759018759018e+21 -2.000006150769231e+23 876278476625797300000
7 5385 6 600000000000000000000 2 95000000000000000000 4 600000000000000000000 5215 3 300000000000000000000 2 1.9998e+22 4 1.2375e+21 5312 8 800000000000000000000 2 9.99857145122413e+21 4 800011101000000000000 5213 8 800000000000000000000 2 4.780642857142857e+21 4 800000000000000000000 5212 5 500000000000000000000 2 1e+22 4 500000000000000000000 5214 4 1 0 1 1 1 2 1 3 1 4 0 1 0 1 1 1 2 1 3 1 4 0 1 0 1 1 1 2 1 3 1 4 6 1 0 1 1 1 2 1 3 1 4 2 1 0 1 1 1 2 1 3 1 4 stakeFunds 100000000000000000000 2 0 stakeFunds 100000000000000000000 0 0 stakeFunds 100000000000000000000 0 0 stakeFunds 100000000000000000000 3 0 stakeFunds 100000000000000000000 1 0 142949967511396.03 1.34175e+21 2304147465437788 1.0505959422508878e+21 2304147465437788 715416666666666700000 3898635477582846.5 1.0396208513708514e+21 4464285714285714.5 786985529987796200000
8 5420 8 800000000000000000000 2 81666666666666670000 4 800000000000000000000 5215 4 400000000000000000000 2 1.9996e+22 4 1.84375e+21 5312 9 900000000000000000000 2 9.996071485914275e+21 4 900011101100000000000 5213 9 900000000000000000000 2 4.716892857142857e+21 4 900000000000000000000 5212 5 500000000000000000000 2 1e+22 4 500000000000000000000 5214 6 1 0 1 1 1 2 1 3 1 4 0 1 0 1 1 1 2 1 3 1 4 8 1 0 1 1 1 2 1 3 1 4 6 1 0 1 1 1 2 1 3 1 4 8 1 0 1 1 1 2 1 3 1 4 stakeFunds 100000000000000000000 3 0 stakeFunds 100000000000000000000 0 0 stakeFunds 100000000000000000000 4 0 stakeFunds 100000000000000000000 3 0 stakeFunds 100000000000000000000 4 0 2739726027397260.5 1.2650833333333333e+21 974658869395711.6 968651497806443300000 -2.000003173015873e+23 628194444444444400000 2739726027397260.5 956951548169344800000 -2.000003173015873e+23 696349092552719500000
9 5455 9 900000000000000000000 2 69166666666666660000 4 900000000000000000000 5215 4 400000000000000000000 2 1.9995416949152543e+22 4 1.84375e+21 5312 9 900000000000000000000 2 9.994960277398316e+21 4 900011101100000000000 5213 11 1.1e+21 2 4.6502261904761904e+21 4 1.1e+21 5212 7 700000000000000000000 2 1e+22 4 700000000000000000000 5214 4 1 0 1 1 1 2 1 3 1 4 6 1 0 1 1 1 2 1 3 1 4 4 1 0 1 1 1 2 1 3 1 4 8 1 0 1 1 1 2 1 3 1 4 8 1 0 1 1 1 2 1 3 1 4 stakeFunds 100000000000000000000 2 0 stakeFunds 100000000000000000000 3 0 stakeFunds 100000000000000000000 2 0 stakeFunds 100000000000000000000 4 0 stakeFunds 100000000000000000000 4 0 100456621004591.22 1.1850833333333333e+21 1501501501501501.5 885471425900947700000 100456621004591.22 541224747474747460000 -2.0000011622093025e+23 878979214664807900000 -2.0000011622093025e+23 603844932306186300000
10 5490 9 900000000000000000000 2 53611111111111115000 4 900000000000000000000 5215 4 400000000000000000000 2 1.9993416949152543e+22 4 1.84375e+21 5312 11 1.1e+21 2 9.994960277398316e+21 4 1.10001110111e+21 5213 12 1.2e+21 2 4.5884080086580084e+21 4 1.2e+21 5212 9 900000000000000000000 2 1e+22 4 900000000000000000000 5214 6 1 0 1 1 1 2 1 3 1 4 6 1 0 1 1 1 2 1 3 1 4 4 1 0 1 1 1 2 1 3 1 4 8 1 0 1 1 1 2 1 3 1 4 6 1 0 1 1 1 2 1 3 1 4 stakeFunds 100000000000000000000 3 0 stakeFunds 100000000000000000000 3 0 stakeFunds 100000000000000000000 2 0 stakeFunds 100000000000000000000 4 0 stakeFunds 100000000000000000000 3 0 1156737998843262 1.1084166666666667e+21 1156737998843262 807139830578640200000 55055055055080.06 454633829209459900000 -2.0000005476712332e+23 803145881331474500000 1156737998843262 511719550764062540000
