Tick Block StakeCount0 TotalStakeQspWei0 totalStakers0 DepositQspWei0 PoolState0 PoolSizeQspWei0 MinStakeStartBlock0 StakeCount1 TotalStakeQspWei1 totalStakers1 DepositQspWei1 PoolState1 PoolSizeQspWei1 MinStakeStartBlock1 StakeCount2 TotalStakeQspWei2 totalStakers2 DepositQspWei2 PoolState2 PoolSizeQspWei2 MinStakeStartBlock2 StakeCount3 TotalStakeQspWei3 totalStakers3 DepositQspWei3 PoolState3 PoolSizeQspWei3 MinStakeStartBlock3 StakeCount4 TotalStakeQspWei4 totalStakers4 DepositQspWei4 PoolState4 PoolSizeQspWei4 MinStakeStartBlock4 ActionOfAgent0 WithdrawInterestAgent0 PoolId WithdrawInterestAgent0 PoolId WithdrawInterestAgent0 PoolId WithdrawInterestAgent0 PoolId WithdrawInterestAgent0 PoolId ActionOfAgent1 WithdrawInterestAgent1 PoolId WithdrawInterestAgent1 PoolId WithdrawInterestAgent1 PoolId WithdrawInterestAgent1 PoolId WithdrawInterestAgent1 PoolId ActionOfAgent2 WithdrawInterestAgent2 PoolId WithdrawInterestAgent2 PoolId WithdrawInterestAgent2 PoolId WithdrawInterestAgent2 PoolId WithdrawInterestAgent2 PoolId ActionOfAgent3 WithdrawInterestAgent3 PoolId WithdrawInterestAgent3 PoolId WithdrawInterestAgent3 PoolId WithdrawInterestAgent3 PoolId WithdrawInterestAgent3 PoolId ActionOfAgent4 WithdrawInterestAgent4 PoolId WithdrawInterestAgent4 PoolId WithdrawInterestAgent4 PoolId WithdrawInterestAgent4 PoolId WithdrawInterestAgent4 PoolId Method0 Amount0 PoolId0 Error0 Method1 Amount1 PoolId1 Error1 Method2 Amount2 PoolId2 Error2 Method3 Amount3 PoolId3 Error3 Method4 Amount4 PoolId4 Error4 RewardAgent0 BalanceAgent0 RewardAgent1 BalanceAgent1 RewardAgent2 BalanceAgent2 RewardAgent3 BalanceAgent3 RewardAgent4 BalanceAgent4
1 12101 0 0 2 1.5e+22 1 0 0 0 0 2 2e+22 1 0 0 0 0 2 1e+22 1 0 0 0 0 2 5e+21 1 0 0 0 0 2 1e+22 1 0 0 4 0 0 0 1 0 2 0 3 0 4 0 0 0 0 1 0 2 0 3 0 4 2 0 0 0 1 0 2 0 3 0 4 6 0 0 0 1 0 2 0 3 0 4 2 0 0 0 1 0 2 0 3 0 4 stakeFunds 100000000000000000000 2 0 stakeFunds 100000000000000000000 0 0 stakeFunds 100000000000000000000 1 0 stakeFunds 100000000000000000000 3 0 stakeFunds 100000000000000000000 1 0 73333333333333330 1.752e+21 -19600000000000000000 1.593e+21 -19900000000000000000 1.279e+21 -49000000000000000000 1.584e+21 -19900000000000000000 1.367e+21
2 12111 1 100000000000000000000 2 1.5e+22 4 100000000000000000000 12108 2 200000000000000000000 2 2e+22 4 200000000000000000000 12109 1 100000000000000000000 2 1e+22 4 100000000000000000000 12107 1 100000000000000000000 2 5e+21 4 100000000000000000000 12110 0 0 2 1e+22 1 0 0 4 1 0 1 1 1 2 1 3 0 4 8 1 0 1 1 1 2 1 3 0 4 2 1 0 1 1 1 2 1 3 0 4 8 1 0 1 1 1 2 1 3 0 4 6 1 0 1 1 1 2 1 3 0 4 stakeFunds 100000000000000000000 2 0 stakeFunds 100000000000000000000 4 0 stakeFunds 100000000000000000000 1 0 stakeFunds 100000000000000000000 4 0 stakeFunds 100000000000000000000 3 0 36666666666666664 1.652e+21 -2.0003998e+23 1.493e+21 -19988888888888890000 1.179e+21 -2.0003998e+23 1.524e+21 -49500000000000010000 1.267e+21
3 12150 1 100000000000000000000 2 1.5e+22 4 100000000000000000000 12108 3 300000000000000000000 2 2e+22 4 300000000000000000000 12109 2 200000000000000000000 2 1e+22 4 200000000000000000000 12107 2 200000000000000000000 2 4.96e+21 4 200000000000000000000 12110 2 200000000000000000000 2 1e+22 4 200000000000000000000 12138 4 1 0 1 1 1 2 1 3 1 4 0 1 0 1 1 1 2 1 3 1 4 6 1 0 1 1 1 2 1 3 1 4 6 1 0 1 1 1 2 1 3 1 4 2 1 0 1 1 1 2 1 3 1 4 stakeFunds 100000000000000000000 2 0 stakeFunds 100000000000000000000 0 0 stakeFunds 100000000000000000000 3 0 stakeFunds 100000000000000000000 3 0 stakeFunds 100000000000000000000 1 0 8148148148148148 1.552e+21 -19800000000000000000 1.413e+21 -49888888888888885000 1.0796666666666666e+21 -49888888888888885000 1.464e+21 -19996428571428573000 1.2026666666666668e+21
4 12185 2 200000000000000000000 2 1.498e+22 4 200000000000000000000 12108 4 400000000000000000000 2 1.9998666666666667e+22 4 906250000000000000000 12109 3 300000000000000000000 2 1e+22 4 300100000000000000000 12107 4 400000000000000000000 2 4.885e+21 4 400000000000000000000 12110 2 200000000000000000000 2 1e+22 4 200000000000000000000 12138 2 1 0 1 1 1 2 1 3 1 4 8 1 0 1 1 1 2 1 3 1 4 8 1 0 1 1 1 2 1 3 1 4 4 1 0 1 1 1 2 1 3 1 4 8 1 0 1 1 1 2 1 3 1 4 stakeFunds 100000000000000000000 1 0 stakeFunds 100000000000000000000 4 0 stakeFunds 100000000000000000000 4 0 stakeFunds 100000000000000000000 2 0 stakeFunds 100000000000000000000 4 0 -19998461538461536000 1.452e+21 -2.0000444222222222e+23 1.323e+21 -2.0000444222222222e+23 987608045977011500000 2619047619047619 1.3915e+21 -2.0000444222222222e+23 1.120387356321839e+21
5 12220 2 200000000000000000000 2 1.497e+22 4 200000000000000000000 12108 5 500000000000000000000 2 1.999800459770115e+22 4 1.765625e+21 12109 4 400000000000000000000 2 1e+22 4 400100000000000000000 12107 4 400000000000000000000 2 4.8325e+21 4 400000000000000000000 12110 5 500000000000000000000 2 1e+22 4 500000000000000000000 12138 4 1 0 1 1 1 2 1 3 1 4 4 1 0 1 1 1 2 1 3 1 4 4 1 0 1 1 1 2 1 3 1 4 6 1 0 1 1 1 2 1 3 1 4 0 1 0 1 1 1 2 1 3 1 4 stakeFunds 100000000000000000000 2 0 stakeFunds 100000000000000000000 2 0 stakeFunds 100000000000000000000 2 0 stakeFunds 100000000000000000000 3 0 stakeFunds 100000000000000000000 0 0 1128205128205128.2 1.352e+21 1128205128205128.2 1.238e+21 1128205128205128.2 905334594649577900000 -49984615384615380000 1.3265e+21 -19955555555555557000 1.038687356321839e+21
6 12255 3 300000000000000000000 2 1.4955e+22 4 300000000000000000000 12108 5 500000000000000000000 2 1.9996978049028582e+22 4 1.765625e+21 12109 7 700000000000000000000 2 1e+22 4 700101100000000000000 12107 5 500000000000000000000 2 4.7625e+21 4 500000000000000000000 12110 5 500000000000000000000 2 1e+22 4 500000000000000000000 12138 2 1 0 1 1 1 2 1 3 1 4 6 1 0 1 1 1 2 1 3 1 4 0 1 0 1 1 1 2 1 3 1 4 6 1 0 1 1 1 2 1 3 1 4 8 1 0 1 1 1 2 1 3 1 4 stakeFunds 100000000000000000000 1 0 stakeFunds 100000000000000000000 3 0 stakeFunds 100000000000000000000 0 0 stakeFunds 100000000000000000000 3 0 stakeFunds 100000000000000000000 4 0 -19999206349206348000 1.2544018164592696e+21 -49992063492063494000 1.1513333333333334e+21 -19985714285714290000 819561143322144300000 -49992063492063494000 1.2625e+21 -2.000003173015873e+23 956820689655172400000
7 12290 4 400000000000000000000 2 1.4938333333333333e+22 4 400000000000000000000 12108 6 600000000000000000000 2 1.9994978049028583e+22 4 3.0046875e+21 12109 7 700000000000000000000 2 9.998571634868164e+21 4 700101100000000000000 12107 7 700000000000000000000 2 4.6985e+21 4 700000000000000000000 12110 6 600000000000000000000 2 1e+22 4 600000000000000000000 12138 4 1 0 1 1 1 2 1 3 1 4 0 1 0 1 1 1 2 1 3 1 4 6 1 0 1 1 1 2 1 3 1 4 0 1 0 1 1 1 2 1 3 1 4 4 1 0 1 1 1 2 1 3 1 4 stakeFunds 100000000000000000000 2 0 stakeFunds 100000000000000000000 0 0 stakeFunds 100000000000000000000 3 0 stakeFunds 100000000000000000000 0 0 stakeFunds 100000000000000000000 2 0 213178294573643.4 1.1558301815911055e+21 -19993846153846153000 1.0616904761904761e+21 -49997093023255814000 729627705984650700000 -19993846153846153000 1.1982142857142857e+21 213178294573643.4 872290788459124600000
8 12325 6 600000000000000000000 2 1.4925833333333333e+22 4 600000000000000000000 12108 6 600000000000000000000 2 1.9994441387562123e+22 4 3.0046875e+21 12109 9 900000000000000000000 2 9.997143269736328e+21 4 900101101100000000000 12107 8 800000000000000000000 2 4.6399285714285714e+21 4 800000000000000000000 12110 6 600000000000000000000 2 1e+22 4 600000000000000000000 12138 6 1 0 1 1 1 2 1 3 1 4 8 1 0 1 1 1 2 1 3 1 4 2 1 0 1 1 1 2 1 3 1 4 2 1 0 1 1 1 2 1 3 1 4 6 1 0 1 1 1 2 1 3 1 4 stakeFunds 100000000000000000000 3 0 stakeFunds 100000000000000000000 4 0 stakeFunds 100000000000000000000 1 0 stakeFunds 100000000000000000000 1 0 stakeFunds 100000000000000000000 3 0 -49998050682261210000 1.0572269574621404e+21 -2.0000018423963136e+23 977107142857142800000 -19999539170506910000 645594164642997100000 -19999539170506910000 1.1348809523809524e+21 -49998050682261210000 783177553929743400000
9 12360 6 600000000000000000000 2 1.49125e+22 4 600000000000000000000 12108 8 800000000000000000000 2 1.9992441387562123e+22 4 3.2046875e+21 12109 9 900000000000000000000 2 9.997143269736328e+21 4 900101101100000000000 12107 10 1e+21 2 4.574928571428571e+21 4 1e+21 12110 7 700000000000000000000 2 1e+22 4 700000000000000000000 12138 4 1 0 1 1 1 2 1 3 1 4 6 1 0 1 1 1 2 1 3 1 4 6 1 0 1 1 1 2 1 3 1 4 8 1 0 1 1 1 2 1 3 1 4 6 1 0 1 1 1 2 1 3 1 4 stakeFunds 100000000000000000000 2 0 stakeFunds 100000000000000000000 3 0 stakeFunds 100000000000000000000 3 0 stakeFunds 100000000000000000000 4 0 stakeFunds 100000000000000000000 3 0 100456621004566.22 959875378501922000000 -49999000999001000000 892440476190476200000 -49999000999001000000 562989906557510300000 -2.0000011622093025e+23 1.0656586053565769e+21 -49999000999001000000 698889239286480000000
10 12395 6 600000000000000000000 2 1.4895833333333332e+22 4 600000000000000000000 12108 8 800000000000000000000 2 1.9991464303213026e+22 4 3.2046875e+21 12109 10 1e+21 2 9.994920186132103e+21 4 1.00010110111e+21 12107 13 1.3e+21 2 4.512928571428571e+21 4 1.3e+21 12110 8 800000000000000000000 2 1e+22 4 800000000000000000000 12138 4 1 0 1 1 1 2 1 3 1 4 8 1 0 1 1 1 2 1 3 1 4 4 1 0 1 1 1 2 1 3 1 4 6 1 0 1 1 1 2 1 3 1 4 6 1 0 1 1 1 2 1 3 1 4 stakeFunds 100000000000000000000 2 0 stakeFunds 100000000000000000000 4 0 stakeFunds 100000000000000000000 2 0 stakeFunds 100000000000000000000 3 0 stakeFunds 100000000000000000000 3 0 73260073260073.27 866569598957234700000 -2.000000779337232e+23 810363453022562400000 73260073260073.27 480587287620416900000 -49999545040946310000 990592808809551800000 -49999545040946310000 616900365816377800000
