Tick Block StakeCount0 TotalStakeQspWei0 totalStakers0 DepositQspWei0 PoolState0 PoolSizeQspWei0 MinStakeStartBlock0 StakeCount1 TotalStakeQspWei1 totalStakers1 DepositQspWei1 PoolState1 PoolSizeQspWei1 MinStakeStartBlock1 StakeCount2 TotalStakeQspWei2 totalStakers2 DepositQspWei2 PoolState2 PoolSizeQspWei2 MinStakeStartBlock2 StakeCount3 TotalStakeQspWei3 totalStakers3 DepositQspWei3 PoolState3 PoolSizeQspWei3 MinStakeStartBlock3 StakeCount4 TotalStakeQspWei4 totalStakers4 DepositQspWei4 PoolState4 PoolSizeQspWei4 MinStakeStartBlock4 ActionOfAgent0 WithdrawInterestAgent0 PoolId WithdrawInterestAgent0 PoolId WithdrawInterestAgent0 PoolId WithdrawInterestAgent0 PoolId WithdrawInterestAgent0 PoolId ActionOfAgent1 WithdrawInterestAgent1 PoolId WithdrawInterestAgent1 PoolId WithdrawInterestAgent1 PoolId WithdrawInterestAgent1 PoolId WithdrawInterestAgent1 PoolId ActionOfAgent2 WithdrawInterestAgent2 PoolId WithdrawInterestAgent2 PoolId WithdrawInterestAgent2 PoolId WithdrawInterestAgent2 PoolId WithdrawInterestAgent2 PoolId ActionOfAgent3 WithdrawInterestAgent3 PoolId WithdrawInterestAgent3 PoolId WithdrawInterestAgent3 PoolId WithdrawInterestAgent3 PoolId WithdrawInterestAgent3 PoolId ActionOfAgent4 WithdrawInterestAgent4 PoolId WithdrawInterestAgent4 PoolId WithdrawInterestAgent4 PoolId WithdrawInterestAgent4 PoolId WithdrawInterestAgent4 PoolId Method0 Amount0 PoolId0 Error0 Method1 Amount1 PoolId1 Error1 Method2 Amount2 PoolId2 Error2 Method3 Amount3 PoolId3 Error3 Method4 Amount4 PoolId4 Error4 RewardAgent0 BalanceAgent0 RewardAgent1 BalanceAgent1 RewardAgent2 BalanceAgent2 RewardAgent3 BalanceAgent3 RewardAgent4 BalanceAgent4
1 16806 0 0 2 1.5e+22 1 0 0 0 0 2 2e+22 1 0 0 0 0 2 1e+22 1 0 0 0 0 2 5e+21 1 0 0 0 0 2 1e+22 1 0 0 2 0 0 0 1 0 2 0 3 0 4 6 0 0 0 1 0 2 0 3 0 4 6 0 0 0 1 0 2 0 3 0 4 8 0 0 0 1 0 2 0 3 0 4 6 0 0 0 1 0 2 0 3 0 4 stakeFunds 100000000000000000000 1 0 stakeFunds 100000000000000000000 3 0 stakeFunds 100000000000000000000 3 0 stakeFunds 100000000000000000000 4 0 stakeFunds 100000000000000000000 3 0 -1.99e+22 1.752e+21 -4.9e+22 1.593e+21 -4.9e+22 1.279e+21 -2.0003998e+26 1.584e+21 -4.9e+22 1.367e+21
2 16816 0 0 2 1.5e+22 1 0 0 1 100000000000000000000 2 2e+22 4 100000000000000000000 16812 0 0 2 1e+22 1 0 0 3 300000000000000000000 2 5e+21 4 300000000000000000000 16813 1 100000000000000000000 2 1e+22 4 100000000000000000000 16815 2 0 0 1 1 0 2 1 3 1 4 8 0 0 1 1 0 2 1 3 1 4 8 0 0 1 1 0 2 1 3 1 4 8 0 0 1 1 0 2 1 3 1 4 4 0 0 1 1 0 2 1 3 1 4 stakeFunds 100000000000000000000 1 0 stakeFunds 100000000000000000000 4 0 stakeFunds 100000000000000000000 4 0 stakeFunds 100000000000000000000 4 0 stakeFunds 100000000000000000000 2 0 -1.995e+22 1.652e+21 -2.0001999e+26 1.4963333333333332e+21 -2.0001999e+26 1.1856666666666668e+21 -2.0001999e+26 1.484e+21 73333333333333330000 1.277e+21
3 16850 0 0 2 1.5e+22 1 0 0 2 200000000000000000000 2 2e+22 4 200000000000000000000 16812 1 100000000000000000000 2 1e+22 4 100000000000000000000 16841 3 300000000000000000000 2 4.98e+21 4 300000000000000000000 16813 4 400000000000000000000 2 1e+22 4 400000000000000000000 16815 0 0 0 1 1 1 2 1 3 1 4 6 0 0 1 1 1 2 1 3 1 4 6 0 0 1 1 1 2 1 3 1 4 6 0 0 1 1 1 2 1 3 1 4 0 0 0 1 1 1 2 1 3 1 4 stakeFunds 100000000000000000000 0 0 stakeFunds 100000000000000000000 3 0 stakeFunds 100000000000000000000 3 0 stakeFunds 100000000000000000000 3 0 stakeFunds 100000000000000000000 0 0 -1.96e+22 1.552e+21 -4.9964285714285715e+22 1.423e+21 -4.9964285714285715e+22 1.109e+21 -4.9964285714285715e+22 1.384e+21 -1.96e+22 1.2036666666666668e+21
4 16880 2 200000000000000000000 2 1.5e+22 4 300000000000000000000 16876 2 200000000000000000000 2 2e+22 4 200000000000000000000 16812 1 100000000000000000000 2 1e+22 4 100000000000000000000 16841 6 600000000000000000000 2 4.903333333333334e+21 4 600000000000000000000 16813 4 400000000000000000000 2 1e+22 4 400000000000000000000 16815 6 1 0 1 1 1 2 1 3 1 4 2 1 0 1 1 1 2 1 3 1 4 2 1 0 1 1 1 2 1 3 1 4 2 1 0 1 1 1 2 1 3 1 4 8 1 0 1 1 1 2 1 3 1 4 stakeFunds 100000000000000000000 3 0 stakeFunds 100000000000000000000 1 0 stakeFunds 100000000000000000000 1 0 stakeFunds 100000000000000000000 1 0 stakeFunds 100000000000000000000 4 0 -4.999539170506912e+22 1.454e+21 -1.9988888888888888e+22 1.3363333333333332e+21 -1.9988888888888888e+22 1.0256666666666666e+21 -1.9988888888888888e+22 1.2906666666666668e+21 -2.0000061507692312e+26 1.1186666666666666e+21
5 16915 2 200000000000000000000 2 1.4996666666666668e+22 4 300000000000000000000 16876 5 500000000000000000000 2 1.9998e+22 4 1.625e+21 16812 1 100000000000000000000 2 1e+22 4 100000000000000000000 16841 7 700000000000000000000 2 4.855e+21 4 700000000000000000000 16813 5 500000000000000000000 2 1e+22 4 500000000000000000000 16815 2 1 0 1 1 1 2 1 3 1 4 2 1 0 1 1 1 2 1 3 1 4 8 1 0 1 1 1 2 1 3 1 4 8 1 0 1 1 1 2 1 3 1 4 6 1 0 1 1 1 2 1 3 1 4 stakeFunds 100000000000000000000 1 0 stakeFunds 100000000000000000000 1 0 stakeFunds 100000000000000000000 4 0 stakeFunds 100000000000000000000 4 0 stakeFunds 100000000000000000000 3 0 -1.999920634920635e+22 1.3690080586080586e+21 -1.999920634920635e+22 1.2563333333333332e+21 -2.000003173015873e+26 945666666666666600000 -2.000003173015873e+26 1.2006666666666668e+21 -4.999709302325581e+22 1.0353333333333334e+21
6 16950 2 200000000000000000000 2 1.4976666666666666e+22 4 300000000000000000000 16876 7 700000000000000000000 2 1.9997753846153844e+22 4 4.67265625e+21 16812 1 100000000000000000000 2 1e+22 4 100000000000000000000 16841 8 800000000000000000000 2 4.793571428571428e+21 4 800000000000000000000 16813 7 700000000000000000000 2 1e+22 4 700000000000000000000 16815 0 1 0 1 1 1 2 1 3 1 4 8 1 0 1 1 1 2 1 3 1 4 4 1 0 1 1 1 2 1 3 1 4 0 1 0 1 1 1 2 1 3 1 4 0 1 0 1 1 1 2 1 3 1 4 stakeFunds 100000000000000000000 0 0 stakeFunds 100000000000000000000 4 0 stakeFunds 100000000000000000000 2 0 stakeFunds 100000000000000000000 0 0 stakeFunds 100000000000000000000 0 0 -1.995555555555556e+22 1.284467527481714e+21 -2.0000011622093024e+26 1.1743576603689461e+21 36666666666666664000 863209468873655500000 -1.995555555555556e+22 1.1094594688736555e+21 -1.995555555555556e+22 953666666666666600000
7 16985 5 500000000000000000000 2 1.4966666666666667e+22 4 600000000000000000000 16876 7 700000000000000000000 2 1.9997101112497266e+22 4 4.67265625e+21 16812 2 200000000000000000000 2 1e+22 4 200000000000000000000 16841 8 800000000000000000000 2 4.726071428571429e+21 4 800000000000000000000 16813 8 800000000000000000000 2 1e+22 4 800000000000000000000 16815 2 1 0 1 1 1 2 1 3 1 4 6 1 0 1 1 1 2 1 3 1 4 6 1 0 1 1 1 2 1 3 1 4 0 1 0 1 1 1 2 1 3 1 4 8 1 0 1 1 1 2 1 3 1 4 stakeFunds 100000000000000000000 1 0 stakeFunds 100000000000000000000 3 0 stakeFunds 100000000000000000000 3 0 stakeFunds 100000000000000000000 0 0 stakeFunds 100000000000000000000 4 0 -1.999970930232558e+22 1.2005001446583288e+21 -4.9998050682261205e+22 1.0931561054450204e+21 -4.9998050682261205e+22 780752271080644300000 -1.9996825396825398e+22 1.0199189377473109e+21 -2.0000007793372318e+26 881166666666666600000
8 17020 6 600000000000000000000 2 1.4953333333333333e+22 4 700000000000000000000 16876 8 800000000000000000000 2 1.9995101112497267e+22 4 7.335546875e+21 16812 2 200000000000000000000 2 9.995e+21 4 200000000000000000000 16841 10 1e+21 2 4.6560714285714286e+21 4 1e+21 16813 9 900000000000000000000 2 1e+22 4 900000000000000000000 16815 4 1 0 1 1 1 2 1 3 1 4 2 1 0 1 1 1 2 1 3 1 4 8 1 0 1 1 1 2 1 3 1 4 8 1 0 1 1 1 2 1 3 1 4 4 1 0 1 1 1 2 1 3 1 4 stakeFunds 100000000000000000000 2 0 stakeFunds 100000000000000000000 1 0 stakeFunds 100000000000000000000 4 0 stakeFunds 100000000000000000000 4 0 stakeFunds 100000000000000000000 2 0 8148148148148148000 1.1161261022249116e+21 -1.999980506822612e+22 1.0096492094441684e+21 -2.000000547671233e+26 697779535578221400000 -2.000000547671233e+26 929803345102030900000 8148148148148148000 800880952380952400000
9 17055 6 600000000000000000000 2 1.4936190476190476e+22 4 700000000000000000000 16876 9 900000000000000000000 2 1.999449895050781e+22 4 1.12798828125e+22 16812 4 400000000000000000000 2 9.995e+21 4 420130000000000000000 16841 10 1e+21 2 4.595071428571429e+21 4 1e+21 16813 11 1.1e+21 2 1e+22 4 1.1e+21 16815 4 1 0 1 1 1 2 1 3 1 4 0 1 0 1 1 1 2 1 3 1 4 4 1 0 1 1 1 2 1 3 1 4 2 1 0 1 1 1 2 1 3 1 4 6 1 0 1 1 1 2 1 3 1 4 stakeFunds 100000000000000000000 2 0 stakeFunds 100000000000000000000 0 0 stakeFunds 100000000000000000000 2 0 stakeFunds 100000000000000000000 1 0 stakeFunds 100000000000000000000 3 0 1128205128205128200 1.0309962635770739e+21 -1.999815668202765e+22 930866410282220000000 1128205128205128200 618779535578221400000 -1.999986301369863e+22 841106790068402400000 -4.9999000999001e+22 719166666666666600000
10 17090 7 700000000000000000000 2 1.492047619047619e+22 4 800000000000000000000 16876 10 1e+21 2 1.9993536714779797e+22 4 1.13798828125e+22 16812 6 600000000000000000000 2 9.995e+21 4 620131000000000000000 16841 11 1.1e+21 2 4.525071428571429e+21 4 1.1e+21 16813 11 1.1e+21 2 1e+22 4 1.1e+21 16815 8 1 0 1 1 1 2 1 3 1 4 0 1 0 1 1 1 2 1 3 1 4 0 1 0 1 1 1 2 1 3 1 4 4 1 0 1 1 1 2 1 3 1 4 8 1 0 1 1 1 2 1 3 1 4 stakeFunds 100000000000000000000 4 0 stakeFunds 100000000000000000000 0 0 stakeFunds 100000000000000000000 0 0 stakeFunds 100000000000000000000 2 0 stakeFunds 100000000000000000000 4 0 -2.0000003001501505e+26 942612813353565300000 -1.9998837209302326e+22 851183681683263800000 -1.9998837209302326e+22 537888019542553600000 337941628264208960 752470426432038800000 -2.0000003001501505e+26 640189393939394000000
