Tick Block StakeCount0 TotalStakeQspWei0 totalStakers0 DepositQspWei0 PoolState0 PoolSizeQspWei0 MinStakeStartBlock0 StakeCount1 TotalStakeQspWei1 totalStakers1 DepositQspWei1 PoolState1 PoolSizeQspWei1 MinStakeStartBlock1 StakeCount2 TotalStakeQspWei2 totalStakers2 DepositQspWei2 PoolState2 PoolSizeQspWei2 MinStakeStartBlock2 StakeCount3 TotalStakeQspWei3 totalStakers3 DepositQspWei3 PoolState3 PoolSizeQspWei3 MinStakeStartBlock3 StakeCount4 TotalStakeQspWei4 totalStakers4 DepositQspWei4 PoolState4 PoolSizeQspWei4 MinStakeStartBlock4 ActionOfAgent0 WithdrawInterestAgent0 PoolId WithdrawInterestAgent0 PoolId WithdrawInterestAgent0 PoolId WithdrawInterestAgent0 PoolId WithdrawInterestAgent0 PoolId ActionOfAgent1 WithdrawInterestAgent1 PoolId WithdrawInterestAgent1 PoolId WithdrawInterestAgent1 PoolId WithdrawInterestAgent1 PoolId WithdrawInterestAgent1 PoolId ActionOfAgent2 WithdrawInterestAgent2 PoolId WithdrawInterestAgent2 PoolId WithdrawInterestAgent2 PoolId WithdrawInterestAgent2 PoolId WithdrawInterestAgent2 PoolId ActionOfAgent3 WithdrawInterestAgent3 PoolId WithdrawInterestAgent3 PoolId WithdrawInterestAgent3 PoolId WithdrawInterestAgent3 PoolId WithdrawInterestAgent3 PoolId ActionOfAgent4 WithdrawInterestAgent4 PoolId WithdrawInterestAgent4 PoolId WithdrawInterestAgent4 PoolId WithdrawInterestAgent4 PoolId WithdrawInterestAgent4 PoolId Method0 Amount0 PoolId0 Error0 Method1 Amount1 PoolId1 Error1 Method2 Amount2 PoolId2 Error2 Method3 Amount3 PoolId3 Error3 Method4 Amount4 PoolId4 Error4 RewardAgent0 BalanceAgent0 RewardAgent1 BalanceAgent1 RewardAgent2 BalanceAgent2 RewardAgent3 BalanceAgent3 RewardAgent4 BalanceAgent4
1 21542 0 0 2 1.5e+22 1 0 0 0 0 2 2e+22 1 0 0 0 0 2 1e+22 1 0 0 0 0 2 5e+21 1 0 0 0 0 2 1e+22 1 0 0 4 0 0 0 1 0 2 0 3 0 4 8 0 0 0 1 0 2 0 3 0 4 2 0 0 0 1 0 2 0 3 0 4 8 0 0 0 1 0 2 0 3 0 4 2 0 0 0 1 0 2 0 3 0 4 stakeFunds 100000000000000000000 2 0 stakeFunds 100000000000000000000 4 0 stakeFunds 100000000000000000000 1 0 stakeFunds 100000000000000000000 4 0 stakeFunds 100000000000000000000 1 0 73333333333333330 1.752e+21 -2.0003998e+23 1.593e+21 -19900000000000000000 1.279e+21 -2.0003998e+23 1.584e+21 -19900000000000000000 1.367e+21
2 21552 0 0 2 1.5e+22 1 0 0 2 200000000000000000000 2 2e+22 4 200000000000000000000 21550 1 100000000000000000000 2 1e+22 4 100000000000000000000 21548 0 0 2 5e+21 1 0 0 2 200000000000000000000 2 1e+22 4 200000000000000000000 21549 8 0 0 1 1 1 2 0 3 1 4 0 0 0 1 1 1 2 0 3 1 4 8 0 0 1 1 1 2 0 3 1 4 4 0 0 1 1 1 2 0 3 1 4 2 0 0 1 1 1 2 0 3 1 4 stakeFunds 100000000000000000000 4 0 stakeFunds 100000000000000000000 0 0 stakeFunds 100000000000000000000 4 0 stakeFunds 100000000000000000000 2 0 stakeFunds 100000000000000000000 1 0 -2.0000444222222222e+23 1.652e+21 -19600000000000000000 1.493e+21 -2.0000444222222222e+23 1.179e+21 36666666666666664 1.484e+21 -19988888888888890000 1.267e+21
3 21577 1 100000000000000000000 2 1.5e+22 4 100000000000000000000 21574 3 300000000000000000000 2 2e+22 4 300000000000000000000 21550 2 200000000000000000000 2 1e+22 4 200000000000000000000 21548 0 0 2 5e+21 1 0 0 4 400000000000000000000 2 1e+22 4 400000000000000000000 21549 2 1 0 1 1 1 2 0 3 1 4 8 1 0 1 1 1 2 0 3 1 4 6 1 0 1 1 1 2 0 3 1 4 0 1 0 1 1 1 2 0 3 1 4 0 1 0 1 1 1 2 0 3 1 4 stakeFunds 100000000000000000000 1 0 stakeFunds 100000000000000000000 4 0 stakeFunds 100000000000000000000 3 0 stakeFunds 100000000000000000000 0 0 stakeFunds 100000000000000000000 0 0 -19996428571428573000 1.552e+21 -2.000006150769231e+23 1.393e+21 -49000000000000000000 1.079e+21 -19800000000000000000 1.384e+21 -19800000000000000000 1.1676666666666666e+21
4 21607 3 300000000000000000000 2 1.5e+22 4 300000000000000000000 21574 4 400000000000000000000 2 1.9999333333333334e+22 4 400000000000000000000 21550 2 200000000000000000000 2 1e+22 4 200000000000000000000 21548 1 100000000000000000000 2 5e+21 4 100000000000000000000 21605 5 500000000000000000000 2 1e+22 4 500000000000000000000 21549 0 1 0 1 1 1 2 1 3 1 4 8 1 0 1 1 1 2 1 3 1 4 6 1 0 1 1 1 2 1 3 1 4 0 1 0 1 1 1 2 1 3 1 4 2 1 0 1 1 1 2 1 3 1 4 stakeFunds 100000000000000000000 0 0 stakeFunds 100000000000000000000 4 0 stakeFunds 100000000000000000000 3 0 stakeFunds 100000000000000000000 0 0 stakeFunds 100000000000000000000 1 0 -19985714285714290000 1.452e+21 -2.000003173015873e+23 1.2996666666666668e+21 -49500000000000010000 1.0095e+21 -19985714285714290000 1.2873333333333332e+21 -19998461538461536000 1.072e+21
5 21642 5 500000000000000000000 2 1.4986666666666666e+22 4 500000000000000000000 21574 5 500000000000000000000 2 1.9997833333333335e+22 4 500000000000000000000 21550 2 200000000000000000000 2 1e+22 4 200000000000000000000 21548 2 200000000000000000000 2 4.97e+21 4 200000000000000000000 21605 6 600000000000000000000 2 1e+22 4 600000000000000000000 21549 0 1 0 1 1 1 2 1 3 1 4 2 1 0 1 1 1 2 1 3 1 4 6 1 0 1 1 1 2 1 3 1 4 8 1 0 1 1 1 2 1 3 1 4 2 1 0 1 1 1 2 1 3 1 4 stakeFunds 100000000000000000000 0 0 stakeFunds 100000000000000000000 1 0 stakeFunds 100000000000000000000 3 0 stakeFunds 100000000000000000000 4 0 stakeFunds 100000000000000000000 1 0 -19996825396825400000 1.3524e+21 -19999206349206348000 1.2016666666666668e+21 -49888888888888885000 959900000000000000000 -2.0000018423963136e+23 1.1913333333333332e+21 -19999206349206348000 976400000000000000000
6 21677 6 600000000000000000000 2 1.4976666666666666e+22 4 600000000000000000000 21574 7 700000000000000000000 2 1.9996633333333334e+22 4 700000000000000000000 21550 2 200000000000000000000 2 1e+22 4 200000000000000000000 21548 3 300000000000000000000 2 4.92e+21 4 300000000000000000000 21605 7 700000000000000000000 2 1e+22 4 700000000000000000000 21549 8 1 0 1 1 1 2 1 3 1 4 2 1 0 1 1 1 2 1 3 1 4 4 1 0 1 1 1 2 1 3 1 4 8 1 0 1 1 1 2 1 3 1 4 2 1 0 1 1 1 2 1 3 1 4 stakeFunds 100000000000000000000 4 0 stakeFunds 100000000000000000000 1 0 stakeFunds 100000000000000000000 2 0 stakeFunds 100000000000000000000 4 0 stakeFunds 100000000000000000000 1 0 -2.0000011622093025e+23 1.2557333333333332e+21 -19999709302325580000 1.105e+21 8148148148148148 916852380952381000000 -2.0000011622093025e+23 1.0963333333333334e+21 -19999709302325580000 878923809523809500000
7 21712 6 600000000000000000000 2 1.4963333333333332e+22 4 600000000000000000000 21574 9 900000000000000000000 2 1.9995490476190478e+22 4 900000000000000000000 21550 3 300000000000000000000 2 1e+22 4 300000000000000000000 21548 3 300000000000000000000 2 4.863333333333334e+21 4 300000000000000000000 21605 9 900000000000000000000 2 1e+22 4 900000000000000000000 21549 0 1 0 1 1 1 2 1 3 1 4 4 1 0 1 1 1 2 1 3 1 4 4 1 0 1 1 1 2 1 3 1 4 8 1 0 1 1 1 2 1 3 1 4 0 1 0 1 1 1 2 1 3 1 4 stakeFunds 100000000000000000000 0 0 stakeFunds 100000000000000000000 2 0 stakeFunds 100000000000000000000 2 0 stakeFunds 100000000000000000000 4 0 stakeFunds 100000000000000000000 0 0 -19998156682027650000 1.1642888888888889e+21 2619047619047619 1.0085555555555555e+21 2619047619047619 887074603174603100000 -2.0000005476712332e+23 1.0063333333333334e+21 -19998156682027650000 783146031746031700000
8 21747 8 800000000000000000000 2 1.4945e+22 4 800000000000000000000 21574 9 900000000000000000000 2 1.9993934920634922e+22 4 900000000000000000000 21550 5 500000000000000000000 2 9.993333333333333e+21 4 500000000000000000000 21548 3 300000000000000000000 2 4.793333333333333e+21 4 300000000000000000000 21605 10 1e+21 2 1e+22 4 1e+21 21549 6 1 0 1 1 1 2 1 3 1 4 4 1 0 1 1 1 2 1 3 1 4 4 1 0 1 1 1 2 1 3 1 4 4 1 0 1 1 1 2 1 3 1 4 4 1 0 1 1 1 2 1 3 1 4 stakeFunds 100000000000000000000 3 0 stakeFunds 100000000000000000000 2 0 stakeFunds 100000000000000000000 2 0 stakeFunds 100000000000000000000 2 0 stakeFunds 100000000000000000000 2 0 -49964285714285715000 1.0682611111111111e+21 582010582010582 911500000000000000000 582010582010582 857296825396825400000 582010582010582 911333333333333400000 582010582010582 687784920634920700000
9 21782 8 800000000000000000000 2 1.493e+22 4 800000000000000000000 21574 9 900000000000000000000 2 1.999215714285714e+22 4 900000000000000000000 21550 9 900000000000000000000 2 9.993333333333333e+21 4 900000000000000000000 21548 4 400000000000000000000 2 4.723333333333334e+21 4 400000000000000000000 21605 10 1e+21 2 1e+22 4 1e+21 21549 4 1 0 1 1 1 2 1 3 1 4 8 1 0 1 1 1 2 1 3 1 4 4 1 0 1 1 1 2 1 3 1 4 0 1 0 1 1 1 2 1 3 1 4 8 1 0 1 1 1 2 1 3 1 4 stakeFunds 100000000000000000000 2 0 stakeFunds 100000000000000000000 4 0 stakeFunds 100000000000000000000 2 0 stakeFunds 100000000000000000000 0 0 stakeFunds 100000000000000000000 4 0 100456621004566.22 978483333333333300000 -2.0000003994005994e+23 812972222222222200000 100456621004566.22 810019047619047600000 -19999220272904483000 815083333333333300000 -2.0000003994005994e+23 593896031746031700000
10 21817 9 900000000000000000000 2 1.49125e+22 4 900000000000000000000 21574 9 900000000000000000000 2 1.9990379365079364e+22 4 900000000000000000000 21550 11 1.1e+21 2 9.993333333333333e+21 4 1.1e+21 21548 4 400000000000000000000 2 4.668333333333333e+21 4 400000000000000000000 21605 12 1.2e+21 2 1e+22 4 1.2e+21 21549 0 1 0 1 1 1 2 1 3 1 4 0 1 0 1 1 1 2 1 3 1 4 8 1 0 1 1 1 2 1 3 1 4 0 1 0 1 1 1 2 1 3 1 4 0 1 0 1 1 1 2 1 3 1 4 stakeFunds 100000000000000000000 0 0 stakeFunds 100000000000000000000 0 0 stakeFunds 100000000000000000000 4 0 stakeFunds 100000000000000000000 0 0 stakeFunds 100000000000000000000 0 0 -19999452054794523000 901761111111111100000 -19999452054794523000 715416666666666700000 -2.0000002312319263e+23 762741269841269900000 -19999452054794523000 719527777777777800000 -19999452054794523000 497229365079365060000
