Tick Block StakeCount0 TotalStakeQspWei0 totalStakers0 DepositQspWei0 PoolState0 PoolSizeQspWei0 MinStakeStartBlock0 StakeCount1 TotalStakeQspWei1 totalStakers1 DepositQspWei1 PoolState1 PoolSizeQspWei1 MinStakeStartBlock1 StakeCount2 TotalStakeQspWei2 totalStakers2 DepositQspWei2 PoolState2 PoolSizeQspWei2 MinStakeStartBlock2 StakeCount3 TotalStakeQspWei3 totalStakers3 DepositQspWei3 PoolState3 PoolSizeQspWei3 MinStakeStartBlock3 ActionOfAgent0 WithdrawInterestAgent0 PoolId WithdrawInterestAgent0 PoolId WithdrawInterestAgent0 PoolId WithdrawInterestAgent0 PoolId ActionOfAgent1 WithdrawInterestAgent1 PoolId WithdrawInterestAgent1 PoolId WithdrawInterestAgent1 PoolId WithdrawInterestAgent1 PoolId ActionOfAgent2 WithdrawInterestAgent2 PoolId WithdrawInterestAgent2 PoolId WithdrawInterestAgent2 PoolId WithdrawInterestAgent2 PoolId ActionOfAgent3 WithdrawInterestAgent3 PoolId WithdrawInterestAgent3 PoolId WithdrawInterestAgent3 PoolId WithdrawInterestAgent3 PoolId ActionOfAgent4 WithdrawInterestAgent4 PoolId WithdrawInterestAgent4 PoolId WithdrawInterestAgent4 PoolId WithdrawInterestAgent4 PoolId Method0 Amount0 PoolId0 Error0 Method1 Amount1 PoolId1 Error1 Method2 Amount2 PoolId2 Error2 Method3 Amount3 PoolId3 Error3 Method4 Amount4 PoolId4 Error4 RewardAgent0 BalanceAgent0 RewardAgent1 BalanceAgent1 RewardAgent2 BalanceAgent2 RewardAgent3 BalanceAgent3 RewardAgent4 BalanceAgent4
11 41547 13 1.3e+21 2 74641414141414150000 4 1.3e+21 41334 5 500000000000000000000 2 1.9946e+22 4 500000000000000000000 41286 10 1e+21 2 9.983829365079365e+21 4 1e+21 41284 8 750000000000000000000 2 4.6650666666666665e+21 4 750000000000000000000 41283 4 1 0 1 1 1 2 1 3 0 1 0 1 1 1 2 1 3 6 1 0 1 1 1 2 1 3 2 1 0 1 1 1 2 1 3 6 1 0 1 1 1 2 1 3 stakeFunds 100000000000000000000 2 1 stakeFunds 100000000000000000000 0 0 stakeFunds 100000000000000000000 3 1 stakeFunds 100000000000000000000 1 1 stakeFunds 100000000000000000000 3 1 0 1.417315476190476e+21 227479526842584.16 873494849594849600000 0 744584457209457100000 0 1.063415601065601e+21 0 876690631590631600000
12 41577 14 1.4e+21 2 63102952602952606000 4 1.4e+21 41334 5 500000000000000000000 2 1.9938e+22 4 500000000000000000000 41286 10 1e+21 2 9.981329365079364e+21 4 1e+21 41284 8 750000000000000000000 2 4.6170666666666665e+21 4 750000000000000000000 41283 4 1 0 1 1 1 2 1 3 0 1 0 1 1 1 2 1 3 6 1 0 1 1 1 2 1 3 0 1 0 1 1 1 2 1 3 4 1 0 1 1 1 2 1 3 stakeFunds 100000000000000000000 2 1 stakeFunds 100000000000000000000 0 0 stakeFunds 100000000000000000000 3 1 stakeFunds 100000000000000000000 0 0 stakeFunds 100000000000000000000 2 1 0 1.440429761904762e+21 182149362477231.3 789180563880563800000 0 755627314352314400000 182149362477231.3 978101315351315300000 0 888662060162060100000
13 41607 16 1.6e+21 2 48102952602952606000 4 1.6e+21 41334 5 500000000000000000000 2 1.9932e+22 4 500000000000000000000 41286 10 1e+21 2 9.973829365079365e+21 4 1e+21 41284 8 750000000000000000000 2 4.5690666666666665e+21 4 750000000000000000000 41283 4 1 0 1 1 1 2 1 3 4 1 0 1 1 1 2 1 3 0 1 0 1 1 1 2 1 3 0 1 0 1 1 1 2 1 3 2 1 0 1 1 1 2 1 3 stakeFunds 100000000000000000000 2 1 stakeFunds 100000000000000000000 2 1 stakeFunds 100000000000000000000 0 0 stakeFunds 100000000000000000000 0 0 stakeFunds 100000000000000000000 1 1 0 1.466579761904762e+21 0 800080563880563800000 122040517451794 668902314352314400000 122040517451794 890251315351315400000 0 899562060162060100000
14 41637 18 1.8e+21 2 36227952602952600000 4 1.8e+21 41334 5 500000000000000000000 2 1.9926e+22 4 500000000000000000000 41286 10 1e+21 2 9.966329365079366e+21 4 1e+21 41284 8 750000000000000000000 2 4.5210666666666665e+21 4 750000000000000000000 41283 4 1 0 1 1 1 2 1 3 2 1 0 1 1 1 2 1 3 6 1 0 1 1 1 2 1 3 4 1 0 1 1 1 2 1 3 6 1 0 1 1 1 2 1 3 stakeFunds 100000000000000000000 2 1 stakeFunds 100000000000000000000 1 1 stakeFunds 100000000000000000000 3 1 stakeFunds 100000000000000000000 2 1 stakeFunds 100000000000000000000 3 1 0 1.4895353174603174e+21 0 815980563880563800000 0 679468981018981000000 0 905095759795759700000 0 912739837939838000000
15 41667 18 1.8e+21 2 21783508158508160000 4 1.8e+21 41334 5 500000000000000000000 2 1.9916e+22 4 500000000000000000000 41286 10 1e+21 2 9.961329365079365e+21 4 1e+21 41284 8 750000000000000000000 2 4.4730666666666665e+21 4 750000000000000000000 41283 6 1 0 1 1 1 2 1 3 0 1 0 1 1 1 2 1 3 0 1 0 1 1 1 2 1 3 4 1 0 1 1 1 2 1 3 6 1 0 1 1 1 2 1 3 stakeFunds 100000000000000000000 3 1 stakeFunds 100000000000000000000 0 0 stakeFunds 100000000000000000000 0 0 stakeFunds 100000000000000000000 2 1 stakeFunds 100000000000000000000 3 1 0 1.5155464285714286e+21 85719183953368.77 727713897213897200000 85719183953368.77 588646758796758800000 0 918495759795759700000 0 925362060162060100000
16 41697 20 2e+21 2 7339063714063714000 2 2e+21 41334 5 500000000000000000000 2 1.9908e+22 4 500000000000000000000 41286 10 1e+21 2 9.958829365079365e+21 4 1e+21 41284 8 750000000000000000000 2 4.4250666666666665e+21 4 750000000000000000000 41283 0 1 0 1 1 1 2 1 3 2 1 0 1 1 1 2 1 3 6 1 0 1 1 1 2 1 3 0 1 0 1 1 1 2 1 3 6 -1 0 1 1 1 2 1 3 stakeFunds 100000000000000000000 0 1 stakeFunds 100000000000000000000 1 1 stakeFunds 100000000000000000000 3 1 stakeFunds 100000000000000000000 0 1 stakeFunds 100000000000000000000 3 1 0 1.5384464285714285e+21 0 738613897213897200000 0 597046758796758700000 0 929234823509823500000 0 936262060162060100000
17 41727 20 2e+21 2 0 6 2e+21 41334 5 500000000000000000000 2 1.9902e+22 4 500000000000000000000 41286 10 1e+21 2 9.956329365079364e+21 4 1e+21 41284 8 750000000000000000000 2 4.3770666666666665e+21 4 750000000000000000000 41283 6 0 0 1 1 1 2 1 3 4 0 0 1 1 1 2 1 3 4 0 0 1 1 1 2 1 3 4 0 0 1 1 1 2 1 3 2 0 0 1 1 1 2 1 3 stakeFunds 100000000000000000000 3 1 stakeFunds 100000000000000000000 2 1 stakeFunds 100000000000000000000 2 1 stakeFunds 100000000000000000000 2 1 stakeFunds 100000000000000000000 1 1 0 1.5608464285714285e+21 0 749513897213897200000 0 604880092130092100000 0 936568156843156800000 0 943595393495393500000
18 41752 20 2e+21 2 0 6 2e+21 41334 5 500000000000000000000 2 1.9896e+22 4 500000000000000000000 41286 10 1e+21 2 9.951329365079366e+21 4 1e+21 41284 8 750000000000000000000 2 4.3322666666666665e+21 4 750000000000000000000 41283 4 0 0 1 1 1 2 1 3 2 0 0 1 1 1 2 1 3 6 0 0 1 1 1 2 1 3 4 0 0 1 1 1 2 1 3 2 0 0 1 1 1 2 1 3 stakeFunds 100000000000000000000 2 1 stakeFunds 100000000000000000000 1 1 stakeFunds 100000000000000000000 3 1 stakeFunds 100000000000000000000 2 1 stakeFunds 100000000000000000000 1 1 0 1.5795130952380952e+21 0 759347230547230600000 0 615213425463425500000 0 943901490176490200000 0 952928726828726900000
19 41777 20 2e+21 2 0 6 2e+21 41334 5 500000000000000000000 2 1.9888e+22 4 500000000000000000000 41286 10 1e+21 2 9.943829365079365e+21 4 1e+21 41284 8 750000000000000000000 2 4.2922666666666665e+21 4 750000000000000000000 41283 6 0 0 1 1 1 2 1 3 2 0 0 1 1 1 2 1 3 4 0 0 1 1 1 2 1 3 4 0 0 1 1 1 2 1 3 2 0 0 1 1 1 2 1 3 stakeFunds 100000000000000000000 3 1 stakeFunds 100000000000000000000 1 1 stakeFunds 100000000000000000000 2 1 stakeFunds 100000000000000000000 2 1 stakeFunds 100000000000000000000 1 1 0 1.6006797619047618e+21 0 764680563880563800000 0 623046758796758700000 0 951234823509823500000 0 960262060162060100000
20 41802 20 2e+21 2 0 6 2e+21 41334 5 500000000000000000000 2 1.9884e+22 4 500000000000000000000 41286 10 1e+21 2 9.938829365079366e+21 4 1e+21 41284 8 750000000000000000000 2 4.2522666666666665e+21 4 750000000000000000000 41283 6 0 0 1 1 1 2 1 3 2 0 0 1 1 1 2 1 3 2 0 0 1 1 1 2 1 3 2 0 0 1 1 1 2 1 3 2 0 0 1 1 1 2 1 3 stakeFunds 100000000000000000000 3 1 stakeFunds 100000000000000000000 1 1 stakeFunds 100000000000000000000 1 1 stakeFunds 100000000000000000000 1 1 stakeFunds 100000000000000000000 1 1 0 1.6193464285714286e+21 0 774513897213897200000 0 628380092130092100000 0 960568156843156800000 0 967595393495393500000
