Tick Block StakeCount0 TotalStakeQspWei0 totalStakers0 DepositQspWei0 PoolState0 PoolSizeQspWei0 MinStakeStartBlock0 StakeCount1 TotalStakeQspWei1 totalStakers1 DepositQspWei1 PoolState1 PoolSizeQspWei1 MinStakeStartBlock1 StakeCount2 TotalStakeQspWei2 totalStakers2 DepositQspWei2 PoolState2 PoolSizeQspWei2 MinStakeStartBlock2 StakeCount3 TotalStakeQspWei3 totalStakers3 DepositQspWei3 PoolState3 PoolSizeQspWei3 MinStakeStartBlock3 StakeCount4 TotalStakeQspWei4 totalStakers4 DepositQspWei4 PoolState4 PoolSizeQspWei4 MinStakeStartBlock4 ActionOfAgent0 WithdrawInterestAgent0 PoolId WithdrawInterestAgent0 PoolId WithdrawInterestAgent0 PoolId WithdrawInterestAgent0 PoolId WithdrawInterestAgent0 PoolId ActionOfAgent1 WithdrawInterestAgent1 PoolId WithdrawInterestAgent1 PoolId WithdrawInterestAgent1 PoolId WithdrawInterestAgent1 PoolId WithdrawInterestAgent1 PoolId ActionOfAgent2 WithdrawInterestAgent2 PoolId WithdrawInterestAgent2 PoolId WithdrawInterestAgent2 PoolId WithdrawInterestAgent2 PoolId WithdrawInterestAgent2 PoolId ActionOfAgent3 WithdrawInterestAgent3 PoolId WithdrawInterestAgent3 PoolId WithdrawInterestAgent3 PoolId WithdrawInterestAgent3 PoolId WithdrawInterestAgent3 PoolId ActionOfAgent4 WithdrawInterestAgent4 PoolId WithdrawInterestAgent4 PoolId WithdrawInterestAgent4 PoolId WithdrawInterestAgent4 PoolId WithdrawInterestAgent4 PoolId Method0 Amount0 PoolId0 Error0 Method1 Amount1 PoolId1 Error1 Method2 Amount2 PoolId2 Error2 Method3 Amount3 PoolId3 Error3 Method4 Amount4 PoolId4 Error4 RewardAgent0 BalanceAgent0 RewardAgent1 BalanceAgent1 RewardAgent2 BalanceAgent2 RewardAgent3 BalanceAgent3 RewardAgent4 BalanceAgent4
1 81 0 0 2 150000000000000000000 1 0 0 0 0 2 2e+22 1 0 0 0 0 2 1e+22 1 0 0 0 0 2 5e+21 1 0 0 0 0 2 1e+22 1 0 0 6 0 0 0 1 0 2 0 3 0 4 2 0 0 0 1 0 2 0 3 0 4 6 0 0 0 1 0 2 0 3 0 4 6 0 0 0 1 0 2 0 3 0 4 6 0 0 0 1 0 2 0 3 0 4 stakeFunds 100000000000000000000 3 0 stakeFunds 100000000000000000000 1 0 stakeFunds 100000000000000000000 3 0 stakeFunds 100000000000000000000 3 0 stakeFunds 100000000000000000000 3 0 2000000000000000000 1.752e+21 125000000000000000 1.593e+21 2000000000000000000 1.279e+21 2000000000000000000 1.584e+21 2000000000000000000 1.367e+21
2 91 0 0 2 150000000000000000000 1 0 0 1 100000000000000000000 2 2e+22 4 100000000000000000000 88 0 0 2 1e+22 1 0 0 4 400000000000000000000 2 5e+21 4 400000000000000000000 87 0 0 2 1e+22 1 0 0 2 0 0 1 1 0 2 1 3 0 4 4 0 0 1 1 0 2 1 3 0 4 6 0 0 1 1 0 2 1 3 0 4 8 0 0 1 1 0 2 1 3 0 4 0 0 0 1 1 0 2 1 3 0 4 stakeFunds 100000000000000000000 1 0 stakeFunds 100000000000000000000 2 0 stakeFunds 100000000000000000000 3 0 stakeFunds 100000000000000000000 4 0 stakeFunds 100000000000000000000 0 0 62500000000000000 1.6545e+21 73333333333333330 1.493e+21 30769230769230772 1.184e+21 -2.0003998e+23 1.489e+21 500000000000000000 1.272e+21
3 111 1 100000000000000000000 2 150000000000000000000 4 100000000000000000000 111 2 200000000000000000000 2 2e+22 4 200000000000000000000 88 1 100000000000000000000 2 1e+22 4 100000000000000000000 108 5 500000000000000000000 2 4.9825e+21 4 500000000000000000000 87 1 100000000000000000000 2 1e+22 4 100000000000000000000 110 6 1 0 1 1 1 2 1 3 1 4 0 1 0 1 1 1 2 1 3 1 4 8 1 0 1 1 1 2 1 3 1 4 4 1 0 1 1 1 2 1 3 1 4 8 1 0 1 1 1 2 1 3 1 4 stakeFunds 100000000000000000000 3 0 stakeFunds 100000000000000000000 0 0 stakeFunds 100000000000000000000 4 0 stakeFunds 100000000000000000000 2 0 stakeFunds 100000000000000000000 4 0 15873015873015872 1.5625e+21 250000000000000000 1.393e+21 -2.0001999e+23 1.1e+21 36666666666666664 1.401e+21 -2.0001999e+23 1.196e+21
4 146 2 200000000000000000000 2 140000000000000000000 4 200000000000000000000 111 2 200000000000000000000 2 2e+22 4 200000000000000000000 88 2 200000000000000000000 2 1e+22 4 200000000000000000000 108 6 600000000000000000000 2 4.9325e+21 4 600000000000000000000 87 3 300000000000000000000 2 1e+22 4 300000000000000000000 110 0 1 0 1 1 1 2 1 3 1 4 8 1 0 1 1 1 2 1 3 1 4 8 1 0 1 1 1 2 1 3 1 4 6 1 0 1 1 1 2 1 3 1 4 8 1 0 1 1 1 2 1 3 1 4 stakeFunds 100000000000000000000 0 0 stakeFunds 100000000000000000000 4 0 stakeFunds 100000000000000000000 4 0 stakeFunds 100000000000000000000 3 0 stakeFunds 100000000000000000000 4 0 55555555555555560 1.4768333333333334e+21 -2.0000142785714287e+23 1.294e+21 -2.0000142785714287e+23 1.0233333333333334e+21 9216589861751152 1.3126666666666668e+21 -2.0000142785714287e+23 1.1176666666666666e+21
5 181 3 300000000000000000000 2 130000000000000000000 4 300000000000000000000 111 2 200000000000000000000 2 1.9998e+22 4 200000000000000000000 88 2 200000000000000000000 2 1e+22 4 200000000000000000000 108 7 700000000000000000000 2 4.8725e+21 4 700000000000000000000 87 6 600000000000000000000 2 1e+22 4 600000000000000000000 110 8 1 0 1 1 1 2 1 3 1 4 0 1 0 1 1 1 2 1 3 1 4 4 1 0 1 1 1 2 1 3 1 4 2 1 0 1 1 1 2 1 3 1 4 6 1 0 1 1 1 2 1 3 1 4 stakeFunds 100000000000000000000 4 0 stakeFunds 100000000000000000000 0 0 stakeFunds 100000000000000000000 2 0 stakeFunds 100000000000000000000 1 0 stakeFunds 100000000000000000000 3 0 -2.0000018423963136e+23 1.3968333333333334e+21 17857142857142858 1.2016666666666668e+21 8148148148148148 943333333333333400000 13888888888888888 1.2283809523809523e+21 5813953488372093 1.031e+21
6 216 4 400000000000000000000 2 120000000000000000000 4 400000000000000000000 111 3 300000000000000000000 2 1.9997e+22 4 300000000000000000000 88 3 300000000000000000000 2 1e+22 4 300000000000000000000 108 8 800000000000000000000 2 4.806785714285715e+21 4 800000000000000000000 87 7 700000000000000000000 2 1e+22 4 700000000000000000000 110 0 1 0 1 1 1 2 1 3 1 4 4 1 0 1 1 1 2 1 3 1 4 8 1 0 1 1 1 2 1 3 1 4 2 1 0 1 1 1 2 1 3 1 4 4 1 0 1 1 1 2 1 3 1 4 stakeFunds 100000000000000000000 0 0 stakeFunds 100000000000000000000 2 0 stakeFunds 100000000000000000000 4 0 stakeFunds 100000000000000000000 1 0 stakeFunds 100000000000000000000 2 0 7692307692307693 1.32e+21 2619047619047619 1.1073333333333334e+21 -2.0000011622093025e+23 860833333333333400000 4464285714285714.5 1.1458809523809524e+21 2619047619047619 951000000000000000000
7 251 5 500000000000000000000 2 105000000000000000000 4 500000000000000000000 111 4 400000000000000000000 2 1.9995666666666666e+22 4 400000000000000000000 88 5 500000000000000000000 2 1e+22 4 500000000000000000000 108 8 800000000000000000000 2 4.739285714285714e+21 4 800000000000000000000 87 8 800000000000000000000 2 1e+22 4 800000000000000000000 110 2 1 0 1 1 1 2 1 3 1 4 6 1 0 1 1 1 2 1 3 1 4 4 1 0 1 1 1 2 1 3 1 4 4 1 0 1 1 1 2 1 3 1 4 8 1 0 1 1 1 2 1 3 1 4 stakeFunds 100000000000000000000 1 0 stakeFunds 100000000000000000000 3 0 stakeFunds 100000000000000000000 2 0 stakeFunds 100000000000000000000 2 0 stakeFunds 100000000000000000000 4 0 1923076923076923.2 1.24e+21 3898635477582846.5 1.0158333333333334e+21 582010582010582 778333333333333400000 582010582010582 1.0638809523809524e+21 -2.000000779337232e+23 872500000000000000000
8 286 5 500000000000000000000 2 93000000000000000000 4 500000000000000000000 111 5 500000000000000000000 2 1.9994166666666667e+22 4 500000000000000000000 88 7 700000000000000000000 2 9.998e+21 4 700000000000000000000 108 9 900000000000000000000 2 4.6692857142857145e+21 4 900000000000000000000 87 9 900000000000000000000 2 1e+22 4 900000000000000000000 110 2 1 0 1 1 1 2 1 3 1 4 2 1 0 1 1 1 2 1 3 1 4 0 1 0 1 1 1 2 1 3 1 4 6 1 0 1 1 1 2 1 3 1 4 6 1 0 1 1 1 2 1 3 1 4 stakeFunds 100000000000000000000 1 0 stakeFunds 100000000000000000000 1 0 stakeFunds 100000000000000000000 0 0 stakeFunds 100000000000000000000 3 0 stakeFunds 100000000000000000000 3 0 992063492063492.1 1.1639555555555555e+21 992063492063492.1 926455555555555500000 3968253968253968 693888888888888900000 2739726027397260.5 981665079365079400000 2739726027397260.5 792055555555555500000
9 321 6 600000000000000000000 2 73000000000000000000 4 600000000000000000000 111 7 700000000000000000000 2 1.9992566666666665e+22 4 700000000000000000000 88 7 700000000000000000000 2 9.99657142857143e+21 4 700000000000000000000 108 11 1.1e+21 2 4.6048412698412696e+21 4 1.1e+21 87 9 900000000000000000000 2 1e+22 4 900000000000000000000 110 0 1 0 1 1 1 2 1 3 1 4 0 1 0 1 1 1 2 1 3 1 4 6 1 0 1 1 1 2 1 3 1 4 0 1 0 1 1 1 2 1 3 1 4 0 1 0 1 1 1 2 1 3 1 4 stakeFunds 100000000000000000000 0 0 stakeFunds 100000000000000000000 0 0 stakeFunds 100000000000000000000 3 0 stakeFunds 100000000000000000000 0 0 stakeFunds 100000000000000000000 0 0 2304147465437788 1.0822542568542568e+21 2304147465437788 838104906204906300000 1501501501501501.5 606616161616161700000 2304147465437788 898600144300144300000 2304147465437788 710994949494949500000
10 356 10 1e+21 2 61333333333333340000 4 1e+21 111 7 700000000000000000000 2 1.9991138095238094e+22 4 700000000000000000000 88 7 700000000000000000000 2 9.99657142857143e+21 4 700000000000000000000 108 12 1.2e+21 2 4.5393867243867246e+21 4 1.2e+21 87 9 900000000000000000000 2 1e+22 4 900000000000000000000 110 4 1 0 1 1 1 2 1 3 1 4 2 1 0 1 1 1 2 1 3 1 4 8 1 0 1 1 1 2 1 3 1 4 4 1 0 1 1 1 2 1 3 1 4 6 1 0 1 1 1 2 1 3 1 4 stakeFunds 100000000000000000000 2 0 stakeFunds 100000000000000000000 1 0 stakeFunds 100000000000000000000 4 0 stakeFunds 100000000000000000000 2 0 stakeFunds 100000000000000000000 3 0 213178294573643.4 998492352092352200000 363372093023255.75 748223953823953800000 -2.0000005476712332e+23 524211399711399740000 213178294573643.4 817671572871572900000 1156737998843262 631494949494949500000
