Tick Block StakeCount0 TotalStakeQspWei0 totalStakers0 DepositQspWei0 PoolState0 PoolSizeQspWei0 MinStakeStartBlock0 StakeCount1 TotalStakeQspWei1 totalStakers1 DepositQspWei1 PoolState1 PoolSizeQspWei1 MinStakeStartBlock1 StakeCount2 TotalStakeQspWei2 totalStakers2 DepositQspWei2 PoolState2 PoolSizeQspWei2 MinStakeStartBlock2 StakeCount3 TotalStakeQspWei3 totalStakers3 DepositQspWei3 PoolState3 PoolSizeQspWei3 MinStakeStartBlock3 ActionOfAgent0 WithdrawInterestAgent0 PoolId WithdrawInterestAgent0 PoolId WithdrawInterestAgent0 PoolId WithdrawInterestAgent0 PoolId ActionOfAgent1 WithdrawInterestAgent1 PoolId WithdrawInterestAgent1 PoolId WithdrawInterestAgent1 PoolId WithdrawInterestAgent1 PoolId ActionOfAgent2 WithdrawInterestAgent2 PoolId WithdrawInterestAgent2 PoolId WithdrawInterestAgent2 PoolId WithdrawInterestAgent2 PoolId ActionOfAgent3 WithdrawInterestAgent3 PoolId WithdrawInterestAgent3 PoolId WithdrawInterestAgent3 PoolId WithdrawInterestAgent3 PoolId ActionOfAgent4 WithdrawInterestAgent4 PoolId WithdrawInterestAgent4 PoolId WithdrawInterestAgent4 PoolId WithdrawInterestAgent4 PoolId Method0 Amount0 PoolId0 Error0 Method1 Amount1 PoolId1 Error1 Method2 Amount2 PoolId2 Error2 Method3 Amount3 PoolId3 Error3 Method4 Amount4 PoolId4 Error4 RewardAgent0 BalanceAgent0 RewardAgent1 BalanceAgent1 RewardAgent2 BalanceAgent2 RewardAgent3 BalanceAgent3 RewardAgent4 BalanceAgent4
1 37666 0 0 2 150000000000000000000 1 0 0 0 0 2 2e+22 1 0 0 0 0 2 1e+22 1 0 0 0 0 2 5e+21 1 0 0 2 0 0 0 1 0 2 0 3 4 0 0 0 1 0 2 0 3 0 0 0 0 1 0 2 0 3 4 0 0 0 1 0 2 0 3 4 0 0 0 1 0 2 0 3 stakeFunds 100000000000000000000 1 0 stakeFunds 100000000000000000000 2 0 stakeFunds 100000000000000000000 0 0 stakeFunds 100000000000000000000 2 0 stakeFunds 100000000000000000000 2 0 625000000000000000 1.752e+21 7333333333333334000 1.593e+21 500000000000000000 1.279e+21 7333333333333334000 1.584e+21 7333333333333334000 1.367e+21
2 37676 1 100000000000000000000 2 150000000000000000000 4 100000000000000000000 37674 1 100000000000000000000 2 2e+22 4 100000000000000000000 37672 3 300000000000000000000 2 1e+22 4 300000000000000000000 37673 0 0 2 5e+21 1 0 0 0 1 0 1 1 1 2 0 3 0 1 0 1 1 1 2 0 3 6 1 0 1 1 1 2 0 3 4 1 0 1 1 1 2 0 3 2 1 0 1 1 1 2 0 3 stakeFunds 100000000000000000000 0 0 stakeFunds 100000000000000000000 0 0 stakeFunds 100000000000000000000 3 0 stakeFunds 100000000000000000000 2 0 stakeFunds 100000000000000000000 1 0 250000000000000000 1.652e+21 250000000000000000 1.493e+21 40000000000000000000 1.179e+21 261904761904761950 1.484e+21 312500000000000000 1.267e+21
3 37701 3 300000000000000000000 2 150000000000000000000 4 300000000000000000000 37674 2 200000000000000000000 2 2e+22 4 200000000000000000000 37672 4 400000000000000000000 2 1e+22 4 400000000000000000000 37673 1 100000000000000000000 2 5e+21 4 100000000000000000000 37699 6 1 0 1 1 1 2 1 3 2 1 0 1 1 1 2 1 3 6 1 0 1 1 1 2 1 3 4 1 0 1 1 1 2 1 3 0 1 0 1 1 1 2 1 3 stakeFunds 100000000000000000000 3 0 stakeFunds 100000000000000000000 1 0 stakeFunds 100000000000000000000 3 0 stakeFunds 100000000000000000000 2 0 stakeFunds 100000000000000000000 0 0 20000000000000000000 1.552e+21 69444444444444450 1.393e+21 20000000000000000000 1.6823333333333332e+21 112820512820512820 1.384e+21 17857142857142858 1.167e+21
4 37731 4 400000000000000000000 2 146666666666666670000 4 400000000000000000000 37674 3 300000000000000000000 2 2e+22 4 300000000000000000000 37672 5 500000000000000000000 2 1e+22 4 500000000000000000000 37673 3 300000000000000000000 2 4.4e+21 4 300000000000000000000 37699 6 1 0 1 1 1 2 1 3 4 1 0 1 1 1 2 1 3 6 1 0 1 1 1 2 1 3 0 1 0 1 1 1 2 1 3 4 1 0 1 1 1 2 1 3 stakeFunds 100000000000000000000 3 0 stakeFunds 100000000000000000000 2 0 stakeFunds 100000000000000000000 3 0 stakeFunds 100000000000000000000 0 0 stakeFunds 100000000000000000000 2 0 1428571428571428600 1.5245e+21 58201058201058200 1.2955e+21 1428571428571428600 2.1873333333333332e+21 7692307692307693 1.284e+21 58201058201058200 1.0728333333333334e+21
5 37761 5 500000000000000000000 2 134166666666666670000 4 500000000000000000000 37674 3 300000000000000000000 2 1.9993333333333335e+22 4 300000000000000000000 37672 7 700000000000000000000 2 1e+22 4 700000000000000000000 37673 5 500000000000000000000 2 3.7333333333333335e+21 4 500000000000000000000 37699 4 1 0 1 1 1 2 1 3 0 1 0 1 1 1 2 1 3 2 1 0 1 1 1 2 1 3 2 1 0 1 1 1 2 1 3 4 1 0 1 1 1 2 1 3 stakeFunds 100000000000000000000 2 0 stakeFunds 100000000000000000000 0 0 stakeFunds 100000000000000000000 1 0 stakeFunds 100000000000000000000 1 0 stakeFunds 100000000000000000000 2 0 21317829457364340 1.7118333333333334e+21 3968253968253968 1.2028333333333334e+21 22321428571428572 2.6893333333333335e+21 22321428571428572 1.184e+21 21317829457364340 978166666666666600000
6 37791 6 600000000000000000000 2 122166666666666670000 4 600000000000000000000 37674 5 500000000000000000000 2 1.9983333333333334e+22 4 500000000000000000000 37672 9 900000000000000000000 2 1e+22 4 900000000000000000000 37673 5 500000000000000000000 2 2.8533333333333335e+21 4 500000000000000000000 37699 0 1 0 1 1 1 2 1 3 2 1 0 1 1 1 2 1 3 0 1 0 1 1 1 2 1 3 0 1 0 1 1 1 2 1 3 2 1 0 1 1 1 2 1 3 stakeFunds 100000000000000000000 0 0 stakeFunds 100000000000000000000 1 1 stakeFunds 100000000000000000000 0 0 stakeFunds 100000000000000000000 0 0 stakeFunds 100000000000000000000 1 1 2304147465437788 2.0954999999999999e+21 0 1.2045e+21 2304147465437788 3.3126666666666665e+21 2304147465437788 1.0873333333333334e+21 0 981500000000000000000
7 37821 9 900000000000000000000 2 108833333333333330000 4 900000000000000000000 37674 5 500000000000000000000 2 1.9981333333333334e+22 4 500000000000000000000 37672 9 900000000000000000000 2 1e+22 4 900000000000000000000 37673 5 500000000000000000000 2 1.6533333333333332e+21 4 500000000000000000000 37699 0 1 0 1 1 1 2 1 3 0 1 0 1 1 1 2 1 3 4 1 0 1 1 1 2 1 3 0 1 0 1 1 1 2 1 3 2 1 0 1 1 1 2 1 3 stakeFunds 100000000000000000000 0 0 stakeFunds 100000000000000000000 0 0 stakeFunds 100000000000000000000 2 0 stakeFunds 100000000000000000000 0 0 stakeFunds 100000000000000000000 1 1 684931506849315.1 2.4777222222222223e+21 684931506849315.1 1.2209444444444445e+21 10045662100456620 3.935777777777778e+21 684931506849315.1 1.1015555555555555e+21 0 1.0957222222222222e+21
8 37851 12 1.2e+21 2 99944444444444440000 4 1.2e+21 37674 5 500000000000000000000 2 1.997333333333333e+22 4 500000000000000000000 37672 10 1e+21 2 9.666666666666666e+21 4 1e+21 37673 5 500000000000000000000 2 453333333333333300000 4 500000000000000000000 37699 4 1 0 1 1 1 2 1 3 0 1 0 1 1 1 2 -1 3 6 1 0 1 1 1 2 -1 3 0 1 0 1 1 1 2 -1 3 0 1 0 1 1 1 2 -1 3 stakeFunds 100000000000000000000 2 0 stakeFunds 100000000000000000000 0 0 stakeFunds 100000000000000000000 3 1 stakeFunds 100000000000000000000 0 0 stakeFunds 100000000000000000000 0 0 7326007326007325 2.834722222222222e+21 289184499710815.5 1.1254444444444445e+21 0 3.9391111111111113e+21 289184499710815.5 1.1048888888888889e+21 289184499710815.5 999388888888888900000
9 37881 15 1.5e+21 2 87444444444444440000 4 1.5e+21 37674 5 500000000000000000000 2 1.9967333333333334e+22 4 500000000000000000000 37672 11 1.1e+21 2 9.566666666666667e+21 4 1.1e+21 37673 5 500000000000000000000 2 0 6 500000000000000000000 37699 0 1 0 1 1 1 2 0 3 4 1 0 1 1 1 2 0 3 2 1 0 1 1 1 2 0 3 2 1 0 1 1 1 2 0 3 0 1 0 1 1 1 2 0 3 stakeFunds 100000000000000000000 0 0 stakeFunds 100000000000000000000 2 0 stakeFunds 100000000000000000000 1 1 stakeFunds 100000000000000000000 1 1 stakeFunds 100000000000000000000 0 0 148104265402843.6 2.7400555555555555e+21 5505505505505505 1.0281111111111111e+21 0 3.9424444444444443e+21 0 1.2004646464646464e+21 148104265402843.6 900055555555555500000
10 37906 17 1.7e+21 2 76777777777777770000 4 1.7e+21 37674 5 500000000000000000000 2 1.9961333333333335e+22 4 500000000000000000000 37672 12 1.2e+21 2 9.475757575757575e+21 4 1.2e+21 37673 5 500000000000000000000 2 0 6 500000000000000000000 37699 4 1 0 1 1 1 2 0 3 4 1 0 1 1 1 2 0 3 4 1 0 1 1 1 2 0 3 2 1 0 1 1 1 2 0 3 0 1 0 1 1 1 2 0 3 stakeFunds 100000000000000000000 2 0 stakeFunds 100000000000000000000 2 0 stakeFunds 100000000000000000000 2 0 stakeFunds 100000000000000000000 1 1 stakeFunds 100000000000000000000 0 0 4241372662425294 2.642408496732026e+21 4241372662425294 1.0169738562091503e+21 4241372662425294 3.846209150326797e+21 0 1.204817587641117e+21 101750101750101.77 887153594771241800000
