Tick Block StakeCount0 TotalStakeQspWei0 totalStakers0 DepositQspWei0 PoolState0 PoolSizeQspWei0 MinStakeStartBlock0 StakeCount1 TotalStakeQspWei1 totalStakers1 DepositQspWei1 PoolState1 PoolSizeQspWei1 MinStakeStartBlock1 StakeCount2 TotalStakeQspWei2 totalStakers2 DepositQspWei2 PoolState2 PoolSizeQspWei2 MinStakeStartBlock2 StakeCount3 TotalStakeQspWei3 totalStakers3 DepositQspWei3 PoolState3 PoolSizeQspWei3 MinStakeStartBlock3 StakeCount4 TotalStakeQspWei4 totalStakers4 DepositQspWei4 PoolState4 PoolSizeQspWei4 MinStakeStartBlock4 ActionOfAgent0 WithdrawInterestAgent0 PoolId WithdrawInterestAgent0 PoolId WithdrawInterestAgent0 PoolId WithdrawInterestAgent0 PoolId WithdrawInterestAgent0 PoolId ActionOfAgent1 WithdrawInterestAgent1 PoolId WithdrawInterestAgent1 PoolId WithdrawInterestAgent1 PoolId WithdrawInterestAgent1 PoolId WithdrawInterestAgent1 PoolId ActionOfAgent2 WithdrawInterestAgent2 PoolId WithdrawInterestAgent2 PoolId WithdrawInterestAgent2 PoolId WithdrawInterestAgent2 PoolId WithdrawInterestAgent2 PoolId ActionOfAgent3 WithdrawInterestAgent3 PoolId WithdrawInterestAgent3 PoolId WithdrawInterestAgent3 PoolId WithdrawInterestAgent3 PoolId WithdrawInterestAgent3 PoolId ActionOfAgent4 WithdrawInterestAgent4 PoolId WithdrawInterestAgent4 PoolId WithdrawInterestAgent4 PoolId WithdrawInterestAgent4 PoolId WithdrawInterestAgent4 PoolId Method0 Amount0 PoolId0 Error0 Method1 Amount1 PoolId1 Error1 Method2 Amount2 PoolId2 Error2 Method3 Amount3 PoolId3 Error3 Method4 Amount4 PoolId4 Error4 RewardAgent0 BalanceAgent0 RewardAgent1 BalanceAgent1 RewardAgent2 BalanceAgent2 RewardAgent3 BalanceAgent3 RewardAgent4 BalanceAgent4
1 5115 0 0 2 150000000000000000000 1 0 0 0 0 2 2e+22 1 0 0 0 0 2 1e+22 1 0 0 0 0 2 5e+21 1 0 0 0 0 2 1e+22 1 0 0 8 0 0 0 1 0 2 0 3 0 4 0 0 0 0 1 0 2 0 3 0 4 4 0 0 0 1 0 2 0 3 0 4 0 0 0 0 1 0 2 0 3 0 4 6 0 0 0 1 0 2 0 3 0 4 stakeFunds 100000000000000000000 4 0 stakeFunds 100000000000000000000 0 0 stakeFunds 100000000000000000000 2 0 stakeFunds 100000000000000000000 0 0 stakeFunds 100000000000000000000 3 0 -2.0003998e+23 1.752e+21 500000000000000000 1.593e+21 73333333333333330 1.279e+21 500000000000000000 1.584e+21 2000000000000000000 1.367e+21
2 5125 2 200000000000000000000 2 150000000000000000000 4 200000000000000000000 5122 0 0 2 2e+22 1 0 0 1 100000000000000000000 2 1e+22 4 100000000000000000000 5123 1 100000000000000000000 2 5e+21 4 100000000000000000000 5125 1 100000000000000000000 2 1e+22 4 100000000000000000000 5121 2 1 0 0 1 1 2 1 3 1 4 8 1 0 0 1 1 2 1 3 1 4 2 1 0 0 1 1 2 1 3 1 4 2 1 0 0 1 1 2 1 3 1 4 6 1 0 0 1 1 2 1 3 1 4 stakeFunds 100000000000000000000 1 0 stakeFunds 100000000000000000000 4 0 stakeFunds 100000000000000000000 1 0 stakeFunds 100000000000000000000 1 0 stakeFunds 100000000000000000000 3 0 125000000000000000 1.652e+21 -2.0001999e+23 1.493e+21 125000000000000000 1.179e+21 125000000000000000 1.484e+21 1000000000000000000 1.307e+21
3 5164 2 200000000000000000000 2 150000000000000000000 4 200000000000000000000 5122 3 300000000000000000000 2 2e+22 4 300000000000000000000 5151 1 100000000000000000000 2 1e+22 4 100000000000000000000 5123 2 200000000000000000000 2 4.96e+21 4 200000000000000000000 5125 2 200000000000000000000 2 1e+22 4 200000000000000000000 5121 8 1 0 1 1 1 2 1 3 1 4 0 1 0 1 1 1 2 1 3 1 4 0 1 0 1 1 1 2 1 3 1 4 0 1 0 1 1 1 2 1 3 1 4 2 1 0 1 1 1 2 1 3 1 4 stakeFunds 100000000000000000000 4 0 stakeFunds 100000000000000000000 0 0 stakeFunds 100000000000000000000 0 0 stakeFunds 100000000000000000000 0 0 stakeFunds 100000000000000000000 1 0 -2.0000444222222222e+23 1.552e+21 55555555555555560 1.403e+21 55555555555555560 1.079e+21 55555555555555560 1.394e+21 4464285714285714.5 1.287e+21
4 5199 5 500000000000000000000 2 130000000000000000000 4 500000000000000000000 5122 4 400000000000000000000 2 2e+22 4 1.9975e+21 5151 1 100000000000000000000 2 1e+22 4 100000000000000000000 5123 2 200000000000000000000 2 4.88e+21 4 200000000000000000000 5125 3 300000000000000000000 2 1e+22 4 300000000000000000000 5121 8 1 0 1 1 1 2 1 3 1 4 0 1 0 1 1 1 2 1 3 1 4 2 1 0 1 1 1 2 1 3 1 4 6 1 0 1 1 1 2 1 3 1 4 4 1 0 1 1 1 2 1 3 1 4 stakeFunds 100000000000000000000 4 0 stakeFunds 100000000000000000000 0 0 stakeFunds 100000000000000000000 1 0 stakeFunds 100000000000000000000 3 0 stakeFunds 100000000000000000000 2 0 -2.0000142785714287e+23 1.4521001251564455e+21 3968253968253968 1.307e+21 1923076923076923.2 979100125156445500000 222222222222222240 1.3001001251564455e+21 36666666666666664 1.257e+21
5 5234 6 600000000000000000000 2 120000000000000000000 4 600000000000000000000 5122 5 500000000000000000000 2 1.9999699624530664e+22 4 2.0975e+21 5151 2 200000000000000000000 2 1e+22 4 221200000000000000000 5123 3 300000000000000000000 2 4.81e+21 4 300000000000000000000 5125 4 400000000000000000000 2 1e+22 4 400000000000000000000 5121 8 1 0 1 1 1 2 1 3 1 4 0 1 0 1 1 1 2 1 3 1 4 0 1 0 1 1 1 2 1 3 1 4 0 1 0 1 1 1 2 1 3 1 4 8 1 0 1 1 1 2 1 3 1 4 stakeFunds 100000000000000000000 4 0 stakeFunds 100000000000000000000 0 0 stakeFunds 100000000000000000000 0 0 stakeFunds 100000000000000000000 0 0 stakeFunds 100000000000000000000 4 0 -2.000006150769231e+23 1.352195476765504e+21 2304147465437788 1.212e+21 2304147465437788 882528810098837300000 2304147465437788 1.2185288100988374e+21 -2.000006150769231e+23 1.2052852602304332e+21
6 5269 9 900000000000000000000 2 106666666666666670000 4 900000000000000000000 5122 5 500000000000000000000 2 1.999779497613972e+22 4 2.0975e+21 5151 2 200000000000000000000 2 1e+22 4 221200000000000000000 5123 3 300000000000000000000 2 4.75e+21 4 300000000000000000000 5125 6 600000000000000000000 2 1e+22 4 600000000000000000000 5121 6 1 0 1 1 1 2 1 3 1 4 8 1 0 1 1 1 2 1 3 1 4 0 1 0 1 1 1 2 1 3 1 4 4 1 0 1 1 1 2 1 3 1 4 4 1 0 1 1 1 2 1 3 1 4 stakeFunds 100000000000000000000 3 0 stakeFunds 100000000000000000000 4 0 stakeFunds 100000000000000000000 0 0 stakeFunds 100000000000000000000 2 0 stakeFunds 100000000000000000000 2 0 71428571428571430 1.2522908283745623e+21 -2.0000018423963136e+23 1.1186666666666666e+21 684931506849315.1 789462531199212500000 8148148148148148 1.1475130505967846e+21 8148148148148148 1.1535705204608661e+21
7 5304 10 1e+21 2 92222222222222230000 4 1e+21 5122 5 500000000000000000000 2 1.999579497613972e+22 4 2.0975e+21 5151 4 400000000000000000000 2 9.995479204339963e+21 4 421210000000000000000 5123 4 400000000000000000000 2 4.68e+21 4 400000000000000000000 5125 7 700000000000000000000 2 1e+22 4 700000000000000000000 5121 6 1 0 1 1 1 2 1 3 1 4 8 1 0 1 1 1 2 1 3 1 4 6 1 0 1 1 1 2 1 3 1 4 2 1 0 1 1 1 2 1 3 1 4 2 1 0 1 1 1 2 1 3 1 4 stakeFunds 100000000000000000000 3 0 stakeFunds 100000000000000000000 4 0 stakeFunds 100000000000000000000 3 0 stakeFunds 100000000000000000000 1 0 stakeFunds 100000000000000000000 1 0 30769230769230772 1.1547908283745623e+21 -2.0000011622093025e+23 1.0256666666666666e+21 30769230769230772 693653234417329200000 992063492063492.1 1.069108402205843e+21 992063492063492.1 1.0901891140246325e+21
8 5339 10 1e+21 2 77222222222222230000 4 1e+21 5122 7 700000000000000000000 2 1.999389032774878e+22 4 4.00609375e+21 5151 4 400000000000000000000 2 9.995479204339963e+21 4 421210000000000000000 5123 6 600000000000000000000 2 4.6250000000000003e+21 4 600000000000000000000 5125 8 800000000000000000000 2 1e+22 4 800000000000000000000 5121 2 1 0 1 1 1 2 1 3 1 4 4 1 0 1 1 1 2 1 3 1 4 8 1 0 1 1 1 2 1 3 1 4 6 1 0 1 1 1 2 1 3 1 4 4 1 0 1 1 1 2 1 3 1 4 stakeFunds 100000000000000000000 1 0 stakeFunds 100000000000000000000 2 0 stakeFunds 100000000000000000000 4 0 stakeFunds 100000000000000000000 3 0 stakeFunds 100000000000000000000 2 0 363372093023255.75 1.0681740856518873e+21 1128205128205128.2 932666666666666600000 -2.000000779337232e+23 603753082305312500000 9216589861751152 986824992816501200000 1128205128205128.2 1.0143699063072229e+21
9 5374 10 1e+21 2 59222222222222220000 4 1e+21 5122 8 800000000000000000000 2 1.999284317302356e+22 4 6.668984375e+21 5151 6 600000000000000000000 2 9.995479204339963e+21 4 621211100000000000000 5123 7 700000000000000000000 2 4.571666666666667e+21 4 700000000000000000000 5125 9 900000000000000000000 2 1e+22 4 900000000000000000000 5121 2 1 0 1 1 1 2 1 3 1 4 4 1 0 1 1 1 2 1 3 1 4 0 1 0 1 1 1 2 1 3 1 4 6 1 0 1 1 1 2 1 3 1 4 4 1 0 1 1 1 2 1 3 1 4 stakeFunds 100000000000000000000 1 0 stakeFunds 100000000000000000000 2 0 stakeFunds 100000000000000000000 0 0 stakeFunds 100000000000000000000 3 0 stakeFunds 100000000000000000000 2 0 243664717348927.88 988204075225824500000 337941628264208.94 838666666666666600000 499500499500499.5 519753082305312460000 5813953488372093 907599257678661300000 337941628264208.94 937372396482229000000
10 5409 11 1.1e+21 2 42222222222222220000 4 1.1e+21 5122 9 900000000000000000000 2 1.9991701741724284e+22 4 1.06133203125e+22 5151 8 800000000000000000000 2 9.99352817674242e+21 4 821211111000000000000 5123 8 800000000000000000000 2 4.505952380952381e+21 4 800000000000000000000 5125 9 900000000000000000000 2 1e+22 4 900000000000000000000 5121 0 1 0 1 1 1 2 1 3 1 4 6 1 0 1 1 1 2 1 3 1 4 4 1 0 1 1 1 2 1 3 1 4 8 1 0 1 1 1 2 1 3 1 4 8 1 0 1 1 1 2 1 3 1 4 stakeFunds 100000000000000000000 0 0 stakeFunds 100000000000000000000 3 0 stakeFunds 100000000000000000000 2 0 stakeFunds 100000000000000000000 4 0 stakeFunds 100000000000000000000 4 0 375375375375375.4 906224721082851100000 3898635477582846.5 745939393939394000000 142949967511371.03 434303939014305000000 -2.0000005476712332e+23 835572647377431200000 -2.0000005476712332e+23 855213212305505400000
