Tick Block StakeCount0 TotalStakeQspWei0 totalStakers0 DepositQspWei0 PoolState0 PoolSizeQspWei0 MinStakeStartBlock0 StakeCount1 TotalStakeQspWei1 totalStakers1 DepositQspWei1 PoolState1 PoolSizeQspWei1 MinStakeStartBlock1 StakeCount2 TotalStakeQspWei2 totalStakers2 DepositQspWei2 PoolState2 PoolSizeQspWei2 MinStakeStartBlock2 StakeCount3 TotalStakeQspWei3 totalStakers3 DepositQspWei3 PoolState3 PoolSizeQspWei3 MinStakeStartBlock3 StakeCount4 TotalStakeQspWei4 totalStakers4 DepositQspWei4 PoolState4 PoolSizeQspWei4 MinStakeStartBlock4 ActionOfAgent0 WithdrawInterestAgent0 PoolId WithdrawInterestAgent0 PoolId WithdrawInterestAgent0 PoolId WithdrawInterestAgent0 PoolId WithdrawInterestAgent0 PoolId ActionOfAgent1 WithdrawInterestAgent1 PoolId WithdrawInterestAgent1 PoolId WithdrawInterestAgent1 PoolId WithdrawInterestAgent1 PoolId WithdrawInterestAgent1 PoolId ActionOfAgent2 WithdrawInterestAgent2 PoolId WithdrawInterestAgent2 PoolId WithdrawInterestAgent2 PoolId WithdrawInterestAgent2 PoolId WithdrawInterestAgent2 PoolId ActionOfAgent3 WithdrawInterestAgent3 PoolId WithdrawInterestAgent3 PoolId WithdrawInterestAgent3 PoolId WithdrawInterestAgent3 PoolId WithdrawInterestAgent3 PoolId ActionOfAgent4 WithdrawInterestAgent4 PoolId WithdrawInterestAgent4 PoolId WithdrawInterestAgent4 PoolId WithdrawInterestAgent4 PoolId WithdrawInterestAgent4 PoolId Method0 Amount0 PoolId0 Error0 Method1 Amount1 PoolId1 Error1 Method2 Amount2 PoolId2 Error2 Method3 Amount3 PoolId3 Error3 Method4 Amount4 PoolId4 Error4 RewardAgent0 BalanceAgent0 RewardAgent1 BalanceAgent1 RewardAgent2 BalanceAgent2 RewardAgent3 BalanceAgent3 RewardAgent4 BalanceAgent4
1 4844 0 0 2 150000000000000000000 1 0 0 0 0 2 2e+22 1 0 0 0 0 2 1e+22 1 0 0 0 0 2 5e+21 1 0 0 0 0 2 1e+22 1 0 0 6 0 0 0 1 0 2 0 3 0 4 8 0 0 0 1 0 2 0 3 0 4 6 0 0 0 1 0 2 0 3 0 4 8 0 0 0 1 0 2 0 3 0 4 6 0 0 0 1 0 2 0 3 0 4 stakeFunds 100000000000000000000 3 0 stakeFunds 100000000000000000000 4 0 stakeFunds 100000000000000000000 3 0 stakeFunds 100000000000000000000 4 0 stakeFunds 100000000000000000000 3 0 2000000000000000000 1.752e+21 -2.0003998e+23 1.593e+21 2000000000000000000 1.279e+21 -2.0003998e+23 1.584e+21 2000000000000000000 1.367e+21
2 4854 0 0 2 150000000000000000000 1 0 0 0 0 2 2e+22 1 0 0 0 0 2 1e+22 1 0 0 3 300000000000000000000 2 5e+21 4 300000000000000000000 4850 2 200000000000000000000 2 1e+22 4 200000000000000000000 4851 8 0 0 0 1 0 2 1 3 1 4 4 0 0 0 1 0 2 1 3 1 4 4 0 0 0 1 0 2 1 3 1 4 8 0 0 0 1 0 2 1 3 1 4 6 0 0 0 1 0 2 1 3 1 4 stakeFunds 100000000000000000000 4 0 stakeFunds 100000000000000000000 2 0 stakeFunds 100000000000000000000 2 0 stakeFunds 100000000000000000000 4 0 stakeFunds 100000000000000000000 3 0 -2.0000444222222222e+23 1.6553333333333332e+21 73333333333333330 1.493e+21 73333333333333330 1.1823333333333332e+21 -2.0000444222222222e+23 1.484e+21 71428571428571430 1.2736666666666668e+21
3 4880 0 0 2 150000000000000000000 1 0 0 0 0 2 2e+22 1 0 0 2 200000000000000000000 2 1e+22 4 200000000000000000000 4871 4 400000000000000000000 2 4.986666666666667e+21 4 400000000000000000000 4850 4 400000000000000000000 2 1e+22 4 400000000000000000000 4851 2 0 0 0 1 1 2 1 3 1 4 4 0 0 0 1 1 2 1 3 1 4 2 0 0 0 1 1 2 1 3 1 4 0 0 0 0 1 1 2 1 3 1 4 0 0 0 0 1 1 2 1 3 1 4 stakeFunds 100000000000000000000 1 0 stakeFunds 100000000000000000000 2 0 stakeFunds 100000000000000000000 1 0 stakeFunds 100000000000000000000 0 0 stakeFunds 100000000000000000000 0 0 125000000000000000 1.5678333333333334e+21 8148148148148148 1.393e+21 125000000000000000 1.0973333333333334e+21 500000000000000000 1.384e+21 500000000000000000 1.1986666666666668e+21
4 4905 2 200000000000000000000 2 150000000000000000000 4 200000000000000000000 4904 2 200000000000000000000 2 2e+22 4 800000000000000000000 4901 3 300000000000000000000 2 1e+22 4 300100000000000000000 4871 4 400000000000000000000 2 4.934166666666667e+21 4 400000000000000000000 4850 4 400000000000000000000 2 1e+22 4 400000000000000000000 4851 6 1 0 1 1 1 2 1 3 1 4 8 1 0 1 1 1 2 1 3 1 4 6 1 0 1 1 1 2 1 3 1 4 6 1 0 1 1 1 2 1 3 1 4 2 1 0 1 1 1 2 1 3 1 4 stakeFunds 100000000000000000000 3 0 stakeFunds 100000000000000000000 4 0 stakeFunds 100000000000000000000 3 0 stakeFunds 100000000000000000000 3 0 stakeFunds 100000000000000000000 1 0 30769230769230772 1.4803333333333332e+21 -2.000006150769231e+23 1.293e+21 30769230769230772 1.0123333333333334e+21 30769230769230772 1.289e+21 13888888888888888 1.1386666666666666e+21
5 4940 2 200000000000000000000 2 140000000000000000000 4 200000000000000000000 4904 3 300000000000000000000 2 2e+22 4 900000000000000000000 4901 3 300000000000000000000 2 1e+22 4 300100000000000000000 4871 7 700000000000000000000 2 4.871666666666667e+21 4 700000000000000000000 4850 5 500000000000000000000 2 1e+22 4 500000000000000000000 4851 2 1 0 1 1 1 2 1 3 1 4 8 1 0 1 1 1 2 1 3 1 4 6 1 0 1 1 1 2 1 3 1 4 6 1 0 1 1 1 2 1 3 1 4 8 1 0 1 1 1 2 1 3 1 4 stakeFunds 100000000000000000000 1 0 stakeFunds 100000000000000000000 4 0 stakeFunds 100000000000000000000 3 0 stakeFunds 100000000000000000000 3 0 stakeFunds 100000000000000000000 4 0 4464285714285714.5 1.3933174603174602e+21 -2.000003173015873e+23 1.193e+21 5813953488372093 926841269841269900000 5813953488372093 1.1997142857142858e+21 -2.000003173015873e+23 1.0686666666666666e+21
6 4975 2 200000000000000000000 2 125000000000000000000 4 200000000000000000000 4904 4 400000000000000000000 2 1.9998222222222223e+22 4 1.50625e+21 4901 3 300000000000000000000 2 1e+22 4 300100000000000000000 4871 9 900000000000000000000 2 4.820238095238095e+21 4 900000000000000000000 4850 7 700000000000000000000 2 1e+22 4 700000000000000000000 4851 4 1 0 1 1 1 2 1 3 1 4 2 1 0 1 1 1 2 1 3 1 4 4 1 0 1 1 1 2 1 3 1 4 0 1 0 1 1 1 2 1 3 1 4 8 1 0 1 1 1 2 1 3 1 4 stakeFunds 100000000000000000000 2 0 stakeFunds 100000000000000000000 1 0 stakeFunds 100000000000000000000 2 0 stakeFunds 100000000000000000000 0 0 stakeFunds 100000000000000000000 4 0 2619047619047619 1.308873015873016e+21 1923076923076923.2 1.093e+21 2619047619047619 845862938813146300000 55555555555555560 1.121936507936508e+21 -2.0000011622093025e+23 989355002305209800000
7 5010 3 300000000000000000000 2 110000000000000000000 4 300000000000000000000 4904 5 500000000000000000000 2 1.9997956662056247e+22 4 2.365625e+21 4901 5 500000000000000000000 2 1e+22 4 500110000000000000000 4871 9 900000000000000000000 2 4.758015873015874e+21 4 900000000000000000000 4850 8 800000000000000000000 2 1e+22 4 800000000000000000000 4851 8 1 0 1 1 1 2 1 3 1 4 6 1 0 1 1 1 2 1 3 1 4 6 1 0 1 1 1 2 1 3 1 4 8 1 0 1 1 1 2 1 3 1 4 2 1 0 1 1 1 2 1 3 1 4 stakeFunds 100000000000000000000 4 0 stakeFunds 100000000000000000000 3 0 stakeFunds 100000000000000000000 3 0 stakeFunds 100000000000000000000 4 0 stakeFunds 100000000000000000000 1 0 -2.000000779337232e+23 1.2255329307416493e+21 2739726027397260.5 993000000000000000000 2739726027397260.5 771280376496891100000 -2.000000779337232e+23 1.0474920634920635e+21 992063492063492.1 911661768781064700000
8 5045 3 300000000000000000000 2 93333333333333330000 4 300000000000000000000 4904 6 600000000000000000000 2 1.9996683214235904e+22 4 2.465625e+21 4901 5 500000000000000000000 2 9.998000439903222e+21 4 500110000000000000000 4871 11 1.1e+21 2 4.688015873015873e+21 4 1.1e+21 4850 10 1e+21 2 1e+22 4 1e+21 4851 8 1 0 1 1 1 2 1 3 1 4 6 1 0 1 1 1 2 1 3 1 4 0 1 0 1 1 1 2 1 3 1 4 6 1 0 1 1 1 2 1 3 1 4 4 1 0 1 1 1 2 1 3 1 4 stakeFunds 100000000000000000000 4 0 stakeFunds 100000000000000000000 3 0 stakeFunds 100000000000000000000 0 0 stakeFunds 100000000000000000000 3 0 stakeFunds 100000000000000000000 2 0 -2.0000003994005994e+23 1.1388280108199994e+21 1501501501501501.5 899516386489453200000 17857142857142858 693098558315072800000 1501501501501501.5 970219336219336200000 582010582010582 831136823510872400000
9 5080 4 400000000000000000000 2 76666666666666670000 4 400000000000000000000 4904 6 600000000000000000000 2 1.999533720663134e+22 4 2.465625e+21 4901 6 600000000000000000000 2 9.993999320149567e+21 4 600110000000000000000 4871 13 1.3e+21 2 4.626197691197691e+21 4 1.3e+21 4850 11 1.1e+21 2 1e+22 4 1.1e+21 4851 2 1 0 1 1 1 2 1 3 1 4 2 1 0 1 1 1 2 1 3 1 4 8 1 0 1 1 1 2 1 3 1 4 8 1 0 1 1 1 2 1 3 1 4 2 1 0 1 1 1 2 1 3 1 4 stakeFunds 100000000000000000000 1 0 stakeFunds 100000000000000000000 1 0 stakeFunds 100000000000000000000 4 0 stakeFunds 100000000000000000000 4 0 stakeFunds 100000000000000000000 1 0 576036866359447 1.0506568106640084e+21 576036866359447 807136548330147400000 -2.0000003001501507e+23 614718135189402700000 -2.0000003001501507e+23 891565490065490000000 576036866359447 747068284951839500000
10 5115 4 400000000000000000000 2 64166666666666660000 4 400000000000000000000 4904 9 900000000000000000000 2 1.999333720663134e+22 4 7.037109375e+21 4901 6 600000000000000000000 2 9.993999320149567e+21 4 600110000000000000000 4871 13 1.3e+21 2 4.562351537351537e+21 4 1.3e+21 4850 13 1.3e+21 2 1e+22 4 1.3e+21 4851 4 1 0 1 1 1 2 1 3 1 4 8 1 0 1 1 1 2 1 3 1 4 8 1 0 1 1 1 2 1 3 1 4 0 1 0 1 1 1 2 1 3 1 4 0 1 0 1 1 1 2 1 3 1 4 stakeFunds 100000000000000000000 2 0 stakeFunds 100000000000000000000 4 0 stakeFunds 100000000000000000000 4 0 stakeFunds 100000000000000000000 0 0 stakeFunds 100000000000000000000 0 0 337941628264208.94 961797287616975000000 -2.0000001818926295e+23 717905779099378100000 -2.0000001818926295e+23 541285017488341500000 7692307692307693 817719336219336200000 7692307692307693 660394357242025000000
