Tick Block StakeCount0 TotalStakeQspWei0 totalStakers0 DepositQspWei0 PoolState0 PoolSizeQspWei0 MinStakeStartBlock0 ActionOfAgent0 WithdrawInterestAgent0 PoolId ActionOfAgent1 WithdrawInterestAgent1 PoolId ActionOfAgent2 WithdrawInterestAgent2 PoolId ActionOfAgent3 WithdrawInterestAgent3 PoolId ActionOfAgent4 WithdrawInterestAgent4 PoolId Method0 Amount0 PoolId0 Error0 Method1 Amount1 PoolId1 Error1 Method2 Amount2 PoolId2 Error2 Method3 Amount3 PoolId3 Error3 Method4 Amount4 PoolId4 Error4 RewardAgent0 BalanceAgent0 RewardAgent1 BalanceAgent1 RewardAgent2 BalanceAgent2 RewardAgent3 BalanceAgent3 RewardAgent4 BalanceAgent4
14 26215 1 50000000000000000000 2 70000000000000000000 4 50000000000000000000 26031 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 stakeFunds 100000000000000000000 0 1 stakeFunds 100000000000000000000 0 1 stakeFunds 100000000000000000000 0 1 stakeFunds 100000000000000000000 0 1 stakeFunds 100000000000000000000 0 1 0 1.892e+21 0 1.693e+21 0 1.379e+21 0 1.684e+21 0 1.467e+21
15 26230 1 50000000000000000000 2 60000000000000000000 4 50000000000000000000 26031 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 stakeFunds 100000000000000000000 0 1 stakeFunds 100000000000000000000 0 1 stakeFunds 100000000000000000000 0 1 stakeFunds 100000000000000000000 0 1 stakeFunds 100000000000000000000 0 1 0 1.902e+21 0 1.693e+21 0 1.379e+21 0 1.684e+21 0 1.467e+21
16 26245 1 50000000000000000000 2 50000000000000000000 4 50000000000000000000 26031 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 stakeFunds 100000000000000000000 0 1 stakeFunds 100000000000000000000 0 1 stakeFunds 100000000000000000000 0 1 stakeFunds 100000000000000000000 0 1 stakeFunds 100000000000000000000 0 1 0 1.902e+21 0 1.693e+21 0 1.379e+21 0 1.684e+21 0 1.467e+21
17 26260 1 50000000000000000000 2 50000000000000000000 4 50000000000000000000 26031 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 stakeFunds 100000000000000000000 0 1 stakeFunds 100000000000000000000 0 1 stakeFunds 100000000000000000000 0 1 stakeFunds 100000000000000000000 0 1 stakeFunds 100000000000000000000 0 1 0 1.912e+21 0 1.693e+21 0 1.379e+21 0 1.684e+21 0 1.467e+21
18 26275 1 50000000000000000000 2 40000000000000000000 4 50000000000000000000 26031 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 stakeFunds 100000000000000000000 0 1 stakeFunds 100000000000000000000 0 1 stakeFunds 100000000000000000000 0 1 stakeFunds 100000000000000000000 0 1 stakeFunds 100000000000000000000 0 1 0 1.922e+21 0 1.693e+21 0 1.379e+21 0 1.684e+21 0 1.467e+21
19 26290 1 50000000000000000000 2 30000000000000000000 4 50000000000000000000 26031 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 stakeFunds 100000000000000000000 0 1 stakeFunds 100000000000000000000 0 1 stakeFunds 100000000000000000000 0 1 stakeFunds 100000000000000000000 0 1 stakeFunds 100000000000000000000 0 1 0 1.932e+21 0 1.693e+21 0 1.379e+21 0 1.684e+21 0 1.467e+21
20 26305 1 50000000000000000000 2 20000000000000000000 4 50000000000000000000 26031 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 stakeFunds 100000000000000000000 0 1 stakeFunds 100000000000000000000 0 1 stakeFunds 100000000000000000000 0 1 stakeFunds 100000000000000000000 0 1 stakeFunds 100000000000000000000 0 1 0 1.932e+21 0 1.693e+21 0 1.379e+21 0 1.684e+21 0 1.467e+21
21 26320 1 50000000000000000000 2 20000000000000000000 4 50000000000000000000 26031 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 stakeFunds 100000000000000000000 0 1 stakeFunds 100000000000000000000 0 1 stakeFunds 100000000000000000000 0 1 stakeFunds 100000000000000000000 0 1 stakeFunds 100000000000000000000 0 1 0 1.942e+21 0 1.693e+21 0 1.379e+21 0 1.684e+21 0 1.467e+21
22 26335 1 50000000000000000000 2 10000000000000000000 4 50000000000000000000 26031 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 stakeFunds 100000000000000000000 0 1 stakeFunds 100000000000000000000 0 1 stakeFunds 100000000000000000000 0 1 stakeFunds 100000000000000000000 0 1 stakeFunds 100000000000000000000 0 1 0 1.952e+21 0 1.693e+21 0 1.379e+21 0 1.684e+21 0 1.467e+21
23 26350 1 50000000000000000000 2 0 2 50000000000000000000 26031 1 1 0 0 -1 0 0 -1 0 0 -1 0 0 -1 0 withdrawStake 0 0 0 stakeFunds 100000000000000000000 0 1 stakeFunds 100000000000000000000 0 1 stakeFunds 100000000000000000000 0 1 stakeFunds 100000000000000000000 0 1 50000000000000000000 2.002e+21 0 1.693e+21 0 1.379e+21 0 1.684e+21 0 1.467e+21
