Tick Block StakeCount0 TotalStakeQspWei0 totalStakers0 DepositQspWei0 PoolState0 PoolSizeQspWei0 MinStakeStartBlock0 StakeCount1 TotalStakeQspWei1 totalStakers1 DepositQspWei1 PoolState1 PoolSizeQspWei1 MinStakeStartBlock1 StakeCount2 TotalStakeQspWei2 totalStakers2 DepositQspWei2 PoolState2 PoolSizeQspWei2 MinStakeStartBlock2 StakeCount3 TotalStakeQspWei3 totalStakers3 DepositQspWei3 PoolState3 PoolSizeQspWei3 MinStakeStartBlock3 ActionOfAgent0 WithdrawInterestAgent0 PoolId WithdrawInterestAgent0 PoolId WithdrawInterestAgent0 PoolId WithdrawInterestAgent0 PoolId ActionOfAgent1 WithdrawInterestAgent1 PoolId WithdrawInterestAgent1 PoolId WithdrawInterestAgent1 PoolId WithdrawInterestAgent1 PoolId ActionOfAgent2 WithdrawInterestAgent2 PoolId WithdrawInterestAgent2 PoolId WithdrawInterestAgent2 PoolId WithdrawInterestAgent2 PoolId ActionOfAgent3 WithdrawInterestAgent3 PoolId WithdrawInterestAgent3 PoolId WithdrawInterestAgent3 PoolId WithdrawInterestAgent3 PoolId ActionOfAgent4 WithdrawInterestAgent4 PoolId WithdrawInterestAgent4 PoolId WithdrawInterestAgent4 PoolId WithdrawInterestAgent4 PoolId Method0 Amount0 PoolId0 Error0 Method1 Amount1 PoolId1 Error1 Method2 Amount2 PoolId2 Error2 Method3 Amount3 PoolId3 Error3 Method4 Amount4 PoolId4 Error4 RewardAgent0 BalanceAgent0 RewardAgent1 BalanceAgent1 RewardAgent2 BalanceAgent2 RewardAgent3 BalanceAgent3 RewardAgent4 BalanceAgent4
1 46073 0 0 2 150000000000000000000 1 0 0 0 0 2 2e+22 1 0 0 0 0 2 1e+22 1 0 0 0 0 2 5e+21 1 0 0 2 0 0 0 1 0 2 0 3 6 0 0 0 1 0 2 0 3 0 0 0 0 1 0 2 0 3 6 0 0 0 1 0 2 0 3 0 0 0 0 1 0 2 0 3 stakeFunds 100000000000000000000 1 0 stakeFunds 100000000000000000000 3 0 stakeFunds 100000000000000000000 0 0 stakeFunds 100000000000000000000 3 0 stakeFunds 100000000000000000000 0 0 6250000000000000000 1.752e+21 40000000000000000000 1.593e+21 4000000000000000000 1.279e+21 40000000000000000000 1.584e+21 4000000000000000000 1.367e+21
2 46083 2 200000000000000000000 2 150000000000000000000 4 200000000000000000000 46081 1 100000000000000000000 2 2e+22 4 100000000000000000000 46079 0 0 2 1e+22 1 0 0 2 200000000000000000000 2 5e+21 4 200000000000000000000 46080 2 1 0 1 1 0 2 1 3 6 1 0 1 1 0 2 1 3 6 1 0 1 1 0 2 1 3 4 1 0 1 1 0 2 1 3 4 1 0 1 1 0 2 1 3 stakeFunds 100000000000000000000 1 0 stakeFunds 100000000000000000000 3 0 stakeFunds 100000000000000000000 3 0 stakeFunds 100000000000000000000 2 0 stakeFunds 100000000000000000000 2 0 3125000000000000000 1.652e+21 4444444444444444000 1.693e+21 4444444444444444000 1.179e+21 7333333333333334000 1.784e+21 7333333333333334000 1.267e+21
3 46108 2 200000000000000000000 2 150000000000000000000 4 200000000000000000000 46081 2 200000000000000000000 2 2e+22 4 200000000000000000000 46079 2 200000000000000000000 2 1e+22 4 200000000000000000000 46107 4 400000000000000000000 2 4.5e+21 4 400000000000000000000 46080 0 1 0 1 1 1 2 1 3 0 1 0 1 1 1 2 1 3 6 1 0 1 1 1 2 1 3 2 1 0 1 1 1 2 1 3 4 1 0 1 1 1 2 1 3 stakeFunds 100000000000000000000 0 0 stakeFunds 100000000000000000000 0 0 stakeFunds 100000000000000000000 3 0 stakeFunds 100000000000000000000 1 0 stakeFunds 100000000000000000000 2 0 444444444444444500 1.552e+21 444444444444444500 1.943e+21 615384615384615400 1.269e+21 694444444444444400 1.984e+21 814814814814814800 1.247e+21
4 46138 4 400000000000000000000 2 30000000000000000000 2 400000000000000000000 46081 3 300000000000000000000 2 2e+22 4 300000000000000000000 46079 3 300000000000000000000 2 1e+22 4 300000000000000000000 46107 5 500000000000000000000 2 3.7e+21 4 500000000000000000000 46080 4 1 0 1 1 1 2 1 3 2 1 0 1 1 1 2 1 3 6 1 0 1 1 1 2 1 3 0 -1 0 1 1 1 2 1 3 4 -1 0 1 1 1 2 1 3 stakeFunds 100000000000000000000 2 0 stakeFunds 100000000000000000000 1 0 stakeFunds 100000000000000000000 3 0 stakeFunds 100000000000000000000 0 1 stakeFunds 100000000000000000000 2 0 261904761904761950 1.4853333333333332e+21 223214285714285730 2.323e+21 317460317460317440 1.559e+21 0 2.224e+21 261904761904761950 1.147e+21
5 46168 4 400000000000000000000 2 0 6 400000000000000000000 46081 4 400000000000000000000 2 1.9966666666666667e+22 4 400000000000000000000 46079 5 500000000000000000000 2 1e+22 4 500000000000000000000 46107 6 600000000000000000000 2 2.62e+21 4 600000000000000000000 46080 4 0 0 1 1 1 2 1 3 2 0 0 1 1 1 2 1 3 2 0 0 1 1 1 2 1 3 6 0 0 1 1 1 2 1 3 2 0 0 1 1 1 2 1 3 stakeFunds 100000000000000000000 2 0 stakeFunds 100000000000000000000 1 0 stakeFunds 100000000000000000000 1 0 stakeFunds 100000000000000000000 3 0 stakeFunds 100000000000000000000 1 0 58201058201058200 1.4353333333333332e+21 96153846153846180 2.623e+21 96153846153846180 1.859e+21 184331797235023040 2.3156666666666668e+21 96153846153846180 1.047e+21
6 46193 4 400000000000000000000 2 0 6 400000000000000000000 46081 7 700000000000000000000 2 1.9891666666666668e+22 4 700000000000000000000 46079 6 600000000000000000000 2 1e+22 4 600000000000000000000 46107 7 700000000000000000000 2 1.6533333333333332e+21 4 700000000000000000000 46080 6 0 0 1 1 1 2 1 3 4 0 0 1 1 1 2 1 3 2 0 0 1 1 1 2 1 3 2 0 0 1 1 1 2 1 3 4 0 0 1 1 1 2 1 3 stakeFunds 100000000000000000000 3 0 stakeFunds 100000000000000000000 2 0 stakeFunds 100000000000000000000 1 0 stakeFunds 100000000000000000000 1 0 stakeFunds 100000000000000000000 2 0 116279069767441870 1.3496190476190477e+21 33794162826420890 2.8087142857142855e+21 18168604651162790 2.1875714285714287e+21 18168604651162790 2.444238095238095e+21 33794162826420890 947000000000000000000
7 46218 4 400000000000000000000 2 0 6 400000000000000000000 46081 9 900000000000000000000 2 1.9877380952380953e+22 4 900000000000000000000 46079 8 800000000000000000000 2 1e+22 4 800000000000000000000 46107 8 800000000000000000000 2 710476190476190500000 4 800000000000000000000 46080 4 0 0 1 1 1 2 1 3 2 0 0 1 1 1 2 1 3 6 0 0 1 1 1 2 1 3 4 0 0 1 1 1 2 1 3 4 0 0 1 1 1 2 -1 3 stakeFunds 100000000000000000000 2 0 stakeFunds 100000000000000000000 1 0 stakeFunds 100000000000000000000 3 1 stakeFunds 100000000000000000000 2 0 stakeFunds 100000000000000000000 2 0 14294996751137100 1.2857301587301588e+21 8561643835616438 2.969825396825397e+21 0 2.5625714285714284e+21 14294996751137100 2.415825396825397e+21 14294996751137100 858111111111111100000
8 46243 4 400000000000000000000 2 0 6 400000000000000000000 46081 10 1e+21 2 1.9832936507936508e+22 4 1e+21 46079 11 1.1e+21 2 1e+22 4 1.1e+21 46107 8 800000000000000000000 2 0 6 800000000000000000000 46080 2 0 0 1 1 1 2 0 3 4 0 0 1 1 1 2 0 3 4 0 0 1 1 1 2 0 3 2 0 0 1 1 1 2 0 3 4 0 0 1 1 1 2 0 3 stakeFunds 100000000000000000000 1 0 stakeFunds 100000000000000000000 2 0 stakeFunds 100000000000000000000 2 0 stakeFunds 100000000000000000000 1 0 stakeFunds 100000000000000000000 2 0 6243756243756243 1.2057301587301588e+21 5505505505505505 2.889825396825397e+21 5505505505505505 2.4725714285714284e+21 6243756243756243 2.315825396825397e+21 5505505505505505 758111111111111100000
9 46263 4 400000000000000000000 2 0 6 400000000000000000000 46081 12 1.2e+21 2 1.978293650793651e+22 4 1.2e+21 46079 14 1.4e+21 2 1e+22 4 1.4e+21 46107 8 800000000000000000000 2 0 6 800000000000000000000 46080 2 0 0 1 1 1 2 0 3 4 0 0 1 1 1 2 0 3 4 0 0 1 1 1 2 0 3 4 0 0 1 1 1 2 0 3 2 0 0 1 1 1 2 0 3 stakeFunds 100000000000000000000 1 0 stakeFunds 100000000000000000000 2 0 stakeFunds 100000000000000000000 2 0 stakeFunds 100000000000000000000 2 0 stakeFunds 100000000000000000000 1 0 3614806246385193.5 1.114063492063492e+21 2671523982999393 2.789825396825397e+21 2671523982999393 2.3809047619047617e+21 2671523982999393 2.303920634920635e+21 3614806246385193.5 737873015873015900000
10 46283 4 400000000000000000000 2 0 6 400000000000000000000 46081 14 1.4e+21 2 1.974126984126984e+22 4 1.4e+21 46079 17 1.7e+21 2 9.857142857142857e+21 4 1.7e+21 46107 8 800000000000000000000 2 0 6 800000000000000000000 46080 4 0 0 1 1 1 2 0 3 4 0 0 1 1 1 2 0 3 4 0 0 1 1 1 2 0 3 4 0 0 1 1 1 2 0 3 4 0 0 1 1 1 2 0 3 stakeFunds 100000000000000000000 2 0 stakeFunds 100000000000000000000 2 0 stakeFunds 100000000000000000000 2 0 stakeFunds 100000000000000000000 2 0 stakeFunds 100000000000000000000 2 0 1492334825668159 1.0212063492063492e+21 1492334825668159 2.7112539682539684e+21 1492334825668159 2.288047619047619e+21 1492334825668159 2.203920634920635e+21 1492334825668159 696696545284780600000
11 46303 4 400000000000000000000 2 0 6 400000000000000000000 46081 14 1.4e+21 2 1.9705555555555557e+22 4 1.4e+21 46079 22 2.2e+21 2 9.798319327731092e+21 4 2.2e+21 46107 8 800000000000000000000 2 0 6 800000000000000000000 46080 2 0 0 1 1 1 2 0 3 4 0 0 1 1 1 2 0 3 4 0 0 1 1 1 2 0 3 2 0 0 1 1 1 2 0 3 2 0 0 1 1 1 2 0 3 stakeFunds 100000000000000000000 1 0 stakeFunds 100000000000000000000 2 0 stakeFunds 100000000000000000000 2 0 stakeFunds 100000000000000000000 1 0 stakeFunds 100000000000000000000 1 0 2276867030965391.5 935492063492063500000 688640560929038.8 2.6112539682539684e+21 688640560929038.8 2.1951904761904761e+21 2276867030965391.5 2.1253492063492063e+21 2276867030965391.5 603839402427637700000
12 46323 4 400000000000000000000 2 0 6 400000000000000000000 46081 17 1.7e+21 2 1.9655555555555554e+22 4 1.7e+21 46079 24 2.4e+21 2 9.798319327731092e+21 4 2.4e+21 46107 8 800000000000000000000 2 0 6 800000000000000000000 46080 2 0 0 1 1 1 2 0 3 2 0 0 1 1 1 2 0 3 2 0 0 1 1 1 2 0 3 2 0 0 1 1 1 2 0 3 4 0 0 1 1 1 2 0 3 stakeFunds 100000000000000000000 1 0 stakeFunds 100000000000000000000 1 0 stakeFunds 100000000000000000000 1 0 stakeFunds 100000000000000000000 1 0 stakeFunds 100000000000000000000 2 0 1271876271876272 888923436041083200000 1271876271876272 2.5289010270774976e+21 1271876271876272 2.1010728291316526e+21 1271876271876272 2.0253492063492063e+21 530440024110910.2 551388422035480840000
13 46343 4 400000000000000000000 2 0 6 400000000000000000000 46081 21 2.1e+21 2 1.961437908496732e+22 4 2.1e+21 46079 25 2.5e+21 2 9.71498599439776e+21 4 2.5e+21 46107 8 800000000000000000000 2 0 6 800000000000000000000 46080 4 0 0 1 1 1 2 0 3 4 0 0 1 1 1 2 0 3 2 0 0 1 1 1 2 0 3 2 0 0 1 1 1 2 0 3 4 0 0 1 1 1 2 0 3 stakeFunds 100000000000000000000 2 0 stakeFunds 100000000000000000000 2 0 stakeFunds 100000000000000000000 1 0 stakeFunds 100000000000000000000 1 0 stakeFunds 100000000000000000000 2 0 469303297922266.3 838447245564892700000 469303297922266.3 2.4289010270774976e+21 674800259123299.5 2.0058347338935574e+21 674800259123299.5 1.9396349206349207e+21 469303297922266.3 456150326797385600000
14 46363 4 400000000000000000000 2 0 6 400000000000000000000 46081 23 2.3e+21 2 1.9581045751633987e+22 4 2.3e+21 46079 28 2.8e+21 2 9.67498599439776e+21 4 2.8e+21 46107 8 800000000000000000000 2 0 6 800000000000000000000 46080 4 0 0 1 1 1 2 0 3 4 0 0 1 1 1 2 0 3 4 0 0 1 1 1 2 0 3 4 0 0 1 1 1 2 0 3 4 0 0 1 1 1 2 0 3 stakeFunds 100000000000000000000 2 0 stakeFunds 100000000000000000000 2 0 stakeFunds 100000000000000000000 2 0 stakeFunds 100000000000000000000 2 0 stakeFunds 100000000000000000000 2 0 334046979152431.75 751490723825762200000 334046979152431.75 2.377658791052653e+21 334046979152431.75 1.910182559980514e+21 334046979152431.75 1.8439827467218772e+21 334046979152431.75 400560264685584400000
15 46383 4 400000000000000000000 2 0 6 400000000000000000000 46081 23 2.3e+21 2 1.953756749076442e+22 4 2.3e+21 46079 33 3.3e+21 2 9.603557422969188e+21 4 3.3e+21 46107 8 800000000000000000000 2 0 6 800000000000000000000 46080 4 0 0 1 1 1 2 0 3 2 0 0 1 1 1 2 0 3 2 0 0 1 1 1 2 0 3 4 0 0 1 1 1 2 0 3 2 0 0 1 1 1 2 0 3 stakeFunds 100000000000000000000 2 0 stakeFunds 100000000000000000000 1 0 stakeFunds 100000000000000000000 1 0 stakeFunds 100000000000000000000 2 0 stakeFunds 100000000000000000000 1 0 204055131986569.47 664534202086631800000 513642340565417.5 2.2820066171396093e+21 513642340565417.5 1.818878212154427e+21 204055131986569.47 1.7916770813727335e+21 513642340565417.5 335211121075571200000
