Tick Block StakeCount0 TotalStakeQspWei0 totalStakers0 DepositQspWei0 PoolState0 PoolSizeQspWei0 MinStakeStartBlock0 StakeCount1 TotalStakeQspWei1 totalStakers1 DepositQspWei1 PoolState1 PoolSizeQspWei1 MinStakeStartBlock1 StakeCount2 TotalStakeQspWei2 totalStakers2 DepositQspWei2 PoolState2 PoolSizeQspWei2 MinStakeStartBlock2 StakeCount3 TotalStakeQspWei3 totalStakers3 DepositQspWei3 PoolState3 PoolSizeQspWei3 MinStakeStartBlock3 StakeCount4 TotalStakeQspWei4 totalStakers4 DepositQspWei4 PoolState4 PoolSizeQspWei4 MinStakeStartBlock4 ActionOfAgent0 WithdrawInterestAgent0 PoolId WithdrawInterestAgent0 PoolId WithdrawInterestAgent0 PoolId WithdrawInterestAgent0 PoolId WithdrawInterestAgent0 PoolId ActionOfAgent1 WithdrawInterestAgent1 PoolId WithdrawInterestAgent1 PoolId WithdrawInterestAgent1 PoolId WithdrawInterestAgent1 PoolId WithdrawInterestAgent1 PoolId ActionOfAgent2 WithdrawInterestAgent2 PoolId WithdrawInterestAgent2 PoolId WithdrawInterestAgent2 PoolId WithdrawInterestAgent2 PoolId WithdrawInterestAgent2 PoolId ActionOfAgent3 WithdrawInterestAgent3 PoolId WithdrawInterestAgent3 PoolId WithdrawInterestAgent3 PoolId WithdrawInterestAgent3 PoolId WithdrawInterestAgent3 PoolId ActionOfAgent4 WithdrawInterestAgent4 PoolId WithdrawInterestAgent4 PoolId WithdrawInterestAgent4 PoolId WithdrawInterestAgent4 PoolId WithdrawInterestAgent4 PoolId Method0 Amount0 PoolId0 Error0 Method1 Amount1 PoolId1 Error1 Method2 Amount2 PoolId2 Error2 Method3 Amount3 PoolId3 Error3 Method4 Amount4 PoolId4 Error4 RewardAgent0 BalanceAgent0 RewardAgent1 BalanceAgent1 RewardAgent2 BalanceAgent2 RewardAgent3 BalanceAgent3 RewardAgent4 BalanceAgent4
1 81 0 0 2 150000000000000000000 1 0 0 0 0 2 2e+22 1 0 0 0 0 2 1e+22 1 0 0 0 0 2 5e+21 1 0 0 0 0 2 1e+22 1 0 0 2 0 0 0 1 0 2 0 3 0 4 4 0 0 0 1 0 2 0 3 0 4 0 0 0 0 1 0 2 0 3 0 4 4 0 0 0 1 0 2 0 3 0 4 6 0 0 0 1 0 2 0 3 0 4 stakeFunds 100000000000000000000 1 0 stakeFunds 100000000000000000000 2 0 stakeFunds 100000000000000000000 0 0 stakeFunds 100000000000000000000 2 0 stakeFunds 100000000000000000000 3 0 125000000000000000 1.752e+21 73333333333333330 1.593e+21 500000000000000000 1.279e+21 73333333333333330 1.584e+21 2000000000000000000 1.367e+21
2 91 1 100000000000000000000 2 150000000000000000000 4 100000000000000000000 89 1 100000000000000000000 2 2e+22 4 100000000000000000000 87 2 200000000000000000000 2 1e+22 4 200000000000000000000 88 1 100000000000000000000 2 5e+21 4 100000000000000000000 91 0 0 2 1e+22 1 0 0 0 1 0 1 1 1 2 1 3 0 4 8 1 0 1 1 1 2 1 3 0 4 0 1 0 1 1 1 2 1 3 0 4 2 1 0 1 1 1 2 1 3 0 4 6 1 0 1 1 1 2 1 3 0 4 stakeFunds 100000000000000000000 0 0 stakeFunds 100000000000000000000 4 0 stakeFunds 100000000000000000000 0 0 stakeFunds 100000000000000000000 1 0 stakeFunds 100000000000000000000 3 0 250000000000000000 1.652e+21 -2.0003998e+23 1.493e+21 250000000000000000 1.179e+21 62500000000000000 1.484e+21 1000000000000000000 1.307e+21
3 130 3 300000000000000000000 2 150000000000000000000 4 300000000000000000000 89 2 200000000000000000000 2 2e+22 4 200000000000000000000 87 2 200000000000000000000 2 1e+22 4 200000000000000000000 88 2 200000000000000000000 2 4.96e+21 4 200000000000000000000 91 1 100000000000000000000 2 1e+22 4 100000000000000000000 118 0 1 0 1 1 1 2 1 3 1 4 2 1 0 1 1 1 2 1 3 1 4 6 1 0 1 1 1 2 1 3 1 4 0 1 0 1 1 1 2 1 3 1 4 0 1 0 1 1 1 2 1 3 1 4 stakeFunds 100000000000000000000 0 0 stakeFunds 100000000000000000000 1 0 stakeFunds 100000000000000000000 3 0 stakeFunds 100000000000000000000 0 0 stakeFunds 100000000000000000000 0 0 17857142857142858 1.553e+21 13888888888888888 1.393e+21 222222222222222240 1.089e+21 17857142857142858 1.384e+21 17857142857142858 1.287e+21
4 165 6 600000000000000000000 2 140000000000000000000 4 600000000000000000000 89 3 300000000000000000000 2 1.9999e+22 4 1.425e+21 87 2 200000000000000000000 2 1e+22 4 200000000000000000000 88 3 300000000000000000000 2 4.88e+21 4 300000000000000000000 91 1 100000000000000000000 2 1e+22 4 100000000000000000000 118 2 1 0 1 1 1 2 1 3 1 4 0 1 0 1 1 1 2 1 3 1 4 6 1 0 1 1 1 2 1 3 1 4 2 1 0 1 1 1 2 1 3 1 4 2 1 0 1 1 1 2 1 3 1 4 stakeFunds 100000000000000000000 1 0 stakeFunds 100000000000000000000 0 0 stakeFunds 100000000000000000000 3 0 stakeFunds 100000000000000000000 1 0 stakeFunds 100000000000000000000 1 0 4464285714285714.5 1.4564736842105262e+21 2304147465437788 1.293e+21 71428571428571430 1.004e+21 4464285714285714.5 1.2858070175438597e+21 4464285714285714.5 1.2353333333333332e+21
5 200 7 700000000000000000000 2 128333333333333330000 4 700000000000000000000 89 6 600000000000000000000 2 1.9998719298245612e+22 4 3.3703125e+21 87 2 200000000000000000000 2 1e+22 4 200000000000000000000 88 4 400000000000000000000 2 4.823333333333334e+21 4 400000000000000000000 91 1 100000000000000000000 2 1e+22 4 100000000000000000000 118 8 1 0 1 1 1 2 1 3 1 4 8 1 0 1 1 1 2 1 3 1 4 6 1 0 1 1 1 2 1 3 1 4 4 1 0 1 1 1 2 1 3 1 4 8 1 0 1 1 1 2 1 3 1 4 stakeFunds 100000000000000000000 4 0 stakeFunds 100000000000000000000 4 0 stakeFunds 100000000000000000000 3 0 stakeFunds 100000000000000000000 2 0 stakeFunds 100000000000000000000 4 0 -2.0001999e+23 1.362187969924812e+21 -2.0001999e+23 1.1937269355586464e+21 30769230769230772 934714285714285700000 8148148148148148 1.1872949306506879e+21 -2.0001999e+23 1.1731904761904761e+21
6 235 7 700000000000000000000 2 112619047619047620000 4 700000000000000000000 89 6 600000000000000000000 2 1.999793302100871e+22 4 3.3703125e+21 87 3 300000000000000000000 2 1e+22 4 300000000000000000000 88 5 500000000000000000000 2 4.763333333333334e+21 4 500000000000000000000 91 4 400000000000000000000 2 1e+22 4 400000000000000000000 118 0 1 0 1 1 1 2 1 3 1 4 0 1 0 1 1 1 2 1 3 1 4 4 1 0 1 1 1 2 1 3 1 4 0 1 0 1 1 1 2 1 3 1 4 2 1 0 1 1 1 2 1 3 1 4 stakeFunds 100000000000000000000 0 0 stakeFunds 100000000000000000000 0 0 stakeFunds 100000000000000000000 2 0 stakeFunds 100000000000000000000 0 0 stakeFunds 100000000000000000000 1 0 1453488372093023.2 1.2654642133846437e+21 1453488372093023.2 1.1006443473077687e+21 2619047619047619 873000000000000000000 1453488372093023.2 1.0936040901976778e+21 576036866359447 1.1033543281011988e+21
7 270 10 1e+21 2 98333333333333330000 4 1e+21 89 7 700000000000000000000 2 1.999593302100871e+22 4 5.17890625e+21 87 4 400000000000000000000 2 9.993333333333333e+21 4 400000000000000000000 88 5 500000000000000000000 2 4.7013333333333335e+21 4 500000000000000000000 91 4 400000000000000000000 2 1e+22 4 400000000000000000000 118 6 1 0 1 1 1 2 1 3 1 4 8 1 0 1 1 1 2 1 3 1 4 0 1 0 1 1 1 2 1 3 1 4 2 1 0 1 1 1 2 1 3 1 4 6 1 0 1 1 1 2 1 3 1 4 stakeFunds 100000000000000000000 3 0 stakeFunds 100000000000000000000 4 0 stakeFunds 100000000000000000000 0 0 stakeFunds 100000000000000000000 1 0 stakeFunds 100000000000000000000 3 0 15873015873015872 1.1695028315774331e+21 -2.000006150769231e+23 1.0026443473077687e+21 499500499500499.5 819000000000000000000 363372093023255.75 996681326583256300000 15873015873015872 1.0338328316462282e+21
8 305 11 1.1e+21 2 83333333333333330000 4 1.1e+21 89 8 800000000000000000000 2 1.9995338662885313e+22 4 5.27890625e+21 87 4 400000000000000000000 2 9.993333333333333e+21 4 400000000000000000000 88 7 700000000000000000000 2 4.6313333333333335e+21 4 700000000000000000000 91 5 500000000000000000000 2 1e+22 4 500000000000000000000 118 2 1 0 1 1 1 2 1 3 1 4 2 1 0 1 1 1 2 1 3 1 4 4 1 0 1 1 1 2 1 3 1 4 6 1 0 1 1 1 2 1 3 1 4 4 1 0 1 1 1 2 1 3 1 4 stakeFunds 100000000000000000000 1 0 stakeFunds 100000000000000000000 1 0 stakeFunds 100000000000000000000 2 0 stakeFunds 100000000000000000000 3 0 stakeFunds 100000000000000000000 2 0 243664717348927.88 1.0766535228278727e+21 243664717348927.88 905835731327035000000 1128205128205128.2 751727272727272800000 5813953488372093 899484372582691200000 1128205128205128.2 963948525039707600000
9 340 11 1.1e+21 2 67878787878787875000 4 1.1e+21 89 10 1e+21 2 1.9993376549521393e+22 4 1.508974609375e+22 87 6 600000000000000000000 2 9.993333333333333e+21 4 620000120000000000000 88 8 800000000000000000000 2 4.5727619047619046e+21 4 800000000000000000000 91 5 500000000000000000000 2 1e+22 4 500000000000000000000 118 0 1 0 1 1 1 2 1 3 1 4 4 1 0 1 1 1 2 1 3 1 4 4 1 0 1 1 1 2 1 3 1 4 0 1 0 1 1 1 2 1 3 1 4 2 1 0 1 1 1 2 1 3 1 4 stakeFunds 100000000000000000000 0 0 stakeFunds 100000000000000000000 2 0 stakeFunds 100000000000000000000 2 0 stakeFunds 100000000000000000000 0 0 stakeFunds 100000000000000000000 1 0 375375375375375.4 990042583984811900000 337941628264208.94 809634456873584400000 337941628264208.94 683431818181818200000 375375375375375.4 807251407410417600000 124875124875124.88 892420644237758600000
10 375 13 1.3e+21 2 49696969696969695000 4 1.3e+21 89 11 1.1e+21 2 1.99926768815194e+22 4 2.3839501953125e+22 87 8 800000000000000000000 2 9.993333333333333e+21 4 820000130000000000000 88 8 800000000000000000000 2 4.5065119047619046e+21 4 800000000000000000000 91 5 500000000000000000000 2 1e+22 4 500000000000000000000 118 6 1 0 1 1 1 2 1 3 1 4 6 1 0 1 1 1 2 1 3 1 4 4 1 0 1 1 1 2 1 3 1 4 8 1 0 1 1 1 2 1 3 1 4 4 1 0 1 1 1 2 1 3 1 4 stakeFunds 100000000000000000000 3 0 stakeFunds 100000000000000000000 3 0 stakeFunds 100000000000000000000 2 0 stakeFunds 100000000000000000000 4 0 stakeFunds 100000000000000000000 2 0 3898635477582846.5 902259665039585700000 3898635477582846.5 712537086434596400000 142949967511371.03 613527972027972000000 -2.000003173015873e+23 722294974697151400000 142949967511371.03 819695556208382800000
