Tick Block StakeCount0 TotalStakeQspWei0 totalStakers0 DepositQspWei0 PoolState0 PoolSizeQspWei0 MinStakeStartBlock0 StakeCount1 TotalStakeQspWei1 totalStakers1 DepositQspWei1 PoolState1 PoolSizeQspWei1 MinStakeStartBlock1 StakeCount2 TotalStakeQspWei2 totalStakers2 DepositQspWei2 PoolState2 PoolSizeQspWei2 MinStakeStartBlock2 StakeCount3 TotalStakeQspWei3 totalStakers3 DepositQspWei3 PoolState3 PoolSizeQspWei3 MinStakeStartBlock3 StakeCount4 TotalStakeQspWei4 totalStakers4 DepositQspWei4 PoolState4 PoolSizeQspWei4 MinStakeStartBlock4 ActionOfAgent0 WithdrawInterestAgent0 PoolId WithdrawInterestAgent0 PoolId WithdrawInterestAgent0 PoolId WithdrawInterestAgent0 PoolId WithdrawInterestAgent0 PoolId ActionOfAgent1 WithdrawInterestAgent1 PoolId WithdrawInterestAgent1 PoolId WithdrawInterestAgent1 PoolId WithdrawInterestAgent1 PoolId WithdrawInterestAgent1 PoolId ActionOfAgent2 WithdrawInterestAgent2 PoolId WithdrawInterestAgent2 PoolId WithdrawInterestAgent2 PoolId WithdrawInterestAgent2 PoolId WithdrawInterestAgent2 PoolId ActionOfAgent3 WithdrawInterestAgent3 PoolId WithdrawInterestAgent3 PoolId WithdrawInterestAgent3 PoolId WithdrawInterestAgent3 PoolId WithdrawInterestAgent3 PoolId ActionOfAgent4 WithdrawInterestAgent4 PoolId WithdrawInterestAgent4 PoolId WithdrawInterestAgent4 PoolId WithdrawInterestAgent4 PoolId WithdrawInterestAgent4 PoolId Method0 Amount0 PoolId0 Error0 Method1 Amount1 PoolId1 Error1 Method2 Amount2 PoolId2 Error2 Method3 Amount3 PoolId3 Error3 Method4 Amount4 PoolId4 Error4 RewardAgent0 BalanceAgent0 RewardAgent1 BalanceAgent1 RewardAgent2 BalanceAgent2 RewardAgent3 BalanceAgent3 RewardAgent4 BalanceAgent4
1 32085 0 0 2 150000000000000000000 1 0 0 0 0 2 2e+22 1 0 0 0 0 2 1e+22 1 0 0 0 0 2 5e+21 1 0 0 0 0 2 1e+22 1 0 0 8 0 0 0 1 0 2 0 3 0 4 0 0 0 0 1 0 2 0 3 0 4 6 0 0 0 1 0 2 0 3 0 4 4 0 0 0 1 0 2 0 3 0 4 0 0 0 0 1 0 2 0 3 0 4 stakeFunds 100000000000000000000 4 0 stakeFunds 100000000000000000000 0 0 stakeFunds 100000000000000000000 3 0 stakeFunds 100000000000000000000 2 0 stakeFunds 100000000000000000000 0 0 -2.0003998e+23 1.752e+21 500000000000000000 1.593e+21 2000000000000000000 1.279e+21 73333333333333330 1.584e+21 500000000000000000 1.367e+21
2 32095 2 200000000000000000000 2 150000000000000000000 4 200000000000000000000 32092 0 0 2 2e+22 1 0 0 1 100000000000000000000 2 1e+22 4 100000000000000000000 32094 1 100000000000000000000 2 5e+21 4 100000000000000000000 32093 1 100000000000000000000 2 1e+22 4 100000000000000000000 32091 8 1 0 0 1 1 2 1 3 1 4 0 1 0 0 1 1 2 1 3 1 4 2 1 0 0 1 1 2 1 3 1 4 2 1 0 0 1 1 2 1 3 1 4 2 1 0 0 1 1 2 1 3 1 4 stakeFunds 100000000000000000000 4 0 stakeFunds 100000000000000000000 0 0 stakeFunds 100000000000000000000 1 0 stakeFunds 100000000000000000000 1 0 stakeFunds 100000000000000000000 1 0 -2.0001999e+23 1.652e+21 55555555555555560 1.493e+21 125000000000000000 1.209e+21 125000000000000000 1.484e+21 125000000000000000 1.272e+21
3 32125 3 300000000000000000000 2 145000000000000000000 4 300000000000000000000 32092 3 300000000000000000000 2 2e+22 4 300000000000000000000 32123 1 100000000000000000000 2 1e+22 4 100000000000000000000 32094 1 100000000000000000000 2 4.97e+21 4 100000000000000000000 32093 2 200000000000000000000 2 1e+22 4 200000000000000000000 32091 0 1 0 1 1 1 2 1 3 1 4 2 1 0 1 1 1 2 1 3 1 4 6 1 0 1 1 1 2 1 3 1 4 4 1 0 1 1 1 2 1 3 1 4 8 1 0 1 1 1 2 1 3 1 4 stakeFunds 100000000000000000000 0 0 stakeFunds 100000000000000000000 1 0 stakeFunds 100000000000000000000 3 0 stakeFunds 100000000000000000000 2 0 stakeFunds 100000000000000000000 4 0 17857142857142858 1.552e+21 4464285714285714.5 1.3996666666666668e+21 1000000000000000000 1.169e+21 36666666666666664 1.384e+21 -2.0000444222222222e+23 1.1753333333333334e+21
4 32160 4 400000000000000000000 2 135000000000000000000 4 400000000000000000000 32092 4 400000000000000000000 2 2e+22 4 400000000000000000000 32123 2 200000000000000000000 2 1e+22 4 200000000000000000000 32094 2 200000000000000000000 2 4.91e+21 4 200000000000000000000 32093 3 300000000000000000000 2 1e+22 4 300000000000000000000 32091 6 1 0 1 1 1 2 1 3 1 4 0 1 0 1 1 1 2 1 3 1 4 0 1 0 1 1 1 2 1 3 1 4 8 1 0 1 1 1 2 1 3 1 4 4 1 0 1 1 1 2 1 3 1 4 stakeFunds 100000000000000000000 3 0 stakeFunds 100000000000000000000 0 0 stakeFunds 100000000000000000000 0 0 stakeFunds 100000000000000000000 4 0 stakeFunds 100000000000000000000 2 0 222222222222222240 1.452e+21 7692307692307693 1.3071666666666666e+21 7692307692307693 1.1195e+21 -2.0000142785714287e+23 1.2845e+21 8148148148148148 1.0808333333333334e+21
5 32195 6 600000000000000000000 2 122500000000000000000 4 600000000000000000000 32092 4 400000000000000000000 2 1.99985e+22 4 400000000000000000000 32123 3 300000000000000000000 2 1e+22 4 300000000000000000000 32094 3 300000000000000000000 2 4.86e+21 4 300000000000000000000 32093 4 400000000000000000000 2 1e+22 4 400000000000000000000 32091 6 1 0 1 1 1 2 1 3 1 4 0 1 0 1 1 1 2 1 3 1 4 2 1 0 1 1 1 2 1 3 1 4 8 1 0 1 1 1 2 1 3 1 4 8 1 0 1 1 1 2 1 3 1 4 stakeFunds 100000000000000000000 3 0 stakeFunds 100000000000000000000 0 0 stakeFunds 100000000000000000000 1 0 stakeFunds 100000000000000000000 4 0 stakeFunds 100000000000000000000 4 0 71428571428571430 1.3586666666666668e+21 2304147465437788 1.2143333333333332e+21 1923076923076923.2 1.0666666666666666e+21 -2.000006150769231e+23 1.185e+21 -2.000006150769231e+23 984666666666666600000
6 32230 7 700000000000000000000 2 109166666666666670000 4 700000000000000000000 32092 5 500000000000000000000 2 1.99965e+22 4 500000000000000000000 32123 3 300000000000000000000 2 1e+22 4 300000000000000000000 32094 4 400000000000000000000 2 4.810000000000001e+21 4 400000000000000000000 32093 6 600000000000000000000 2 1e+22 4 600000000000000000000 32091 8 1 0 1 1 1 2 1 3 1 4 6 1 0 1 1 1 2 1 3 1 4 2 1 0 1 1 1 2 1 3 1 4 6 1 0 1 1 1 2 1 3 1 4 0 1 0 1 1 1 2 1 3 1 4 stakeFunds 100000000000000000000 4 0 stakeFunds 100000000000000000000 3 0 stakeFunds 100000000000000000000 1 0 stakeFunds 100000000000000000000 3 0 stakeFunds 100000000000000000000 0 0 -2.0000018423963136e+23 1.280095238095238e+21 30769230769230772 1.1218761904761905e+21 992063492063492.1 1.0049238095238095e+21 30769230769230772 1.0887333333333334e+21 1453488372093023.2 887923809523809500000
7 32265 8 800000000000000000000 2 94880952380952380000 4 800000000000000000000 32092 6 600000000000000000000 2 1.99949e+22 4 600000000000000000000 32123 3 300000000000000000000 2 9.996666666666668e+21 4 300000000000000000000 32094 6 600000000000000000000 2 4.755e+21 4 600000000000000000000 32093 7 700000000000000000000 2 1e+22 4 700000000000000000000 32091 6 1 0 1 1 1 2 1 3 1 4 4 1 0 1 1 1 2 1 3 1 4 2 1 0 1 1 1 2 1 3 1 4 4 1 0 1 1 1 2 1 3 1 4 4 1 0 1 1 1 2 1 3 1 4 stakeFunds 100000000000000000000 3 0 stakeFunds 100000000000000000000 2 0 stakeFunds 100000000000000000000 1 0 stakeFunds 100000000000000000000 2 0 stakeFunds 100000000000000000000 2 0 9216589861751152 1.2059285714285714e+21 2619047619047619 1.0352095238095239e+21 576036866359447 931090476190476100000 2619047619047619 995733333333333400000 2619047619047619 790757142857142900000
8 32300 8 800000000000000000000 2 77380952380952380000 4 800000000000000000000 32092 7 700000000000000000000 2 1.99939e+22 4 700000000000000000000 32123 6 600000000000000000000 2 9.996666666666668e+21 4 600000000000000000000 32094 7 700000000000000000000 2 4.698333333333333e+21 4 700000000000000000000 32093 7 700000000000000000000 2 1e+22 4 700000000000000000000 32091 8 1 0 1 1 1 2 1 3 1 4 6 1 0 1 1 1 2 1 3 1 4 4 1 0 1 1 1 2 1 3 1 4 0 1 0 1 1 1 2 1 3 1 4 0 1 0 1 1 1 2 1 3 1 4 stakeFunds 100000000000000000000 4 0 stakeFunds 100000000000000000000 3 0 stakeFunds 100000000000000000000 2 0 stakeFunds 100000000000000000000 0 0 stakeFunds 100000000000000000000 0 0 -2.0000011622093025e+23 1.1298571428571429e+21 5813953488372093 952995238095238100000 337941628264208.94 854447619047619000000 974658869395711.6 907400000000000000000 974658869395711.6 696042857142857100000
9 32335 10 1e+21 2 59880952380952380000 4 1e+21 32092 7 700000000000000000000 2 1.9992471428571427e+22 4 700000000000000000000 32123 7 700000000000000000000 2 9.995e+21 4 700000000000000000000 32094 8 800000000000000000000 2 4.6369047619047617e+21 4 800000000000000000000 32093 8 800000000000000000000 2 1e+22 4 800000000000000000000 32091 8 1 0 1 1 1 2 1 3 1 4 6 1 0 1 1 1 2 1 3 1 4 4 1 0 1 1 1 2 1 3 1 4 2 1 0 1 1 1 2 1 3 1 4 2 1 0 1 1 1 2 1 3 1 4 stakeFunds 100000000000000000000 4 0 stakeFunds 100000000000000000000 3 0 stakeFunds 100000000000000000000 2 0 stakeFunds 100000000000000000000 1 0 stakeFunds 100000000000000000000 1 0 -2.000000779337232e+23 1.0581071428571428e+21 3898635477582846.5 871530952380952300000 213178294573643.4 774090476190476100000 363372093023255.75 817435714285714300000 363372093023255.75 601471428571428600000
10 32370 10 1e+21 2 44880952380952380000 4 1e+21 32092 9 900000000000000000000 2 1.999075714285714e+22 4 900000000000000000000 32123 8 800000000000000000000 2 9.993571428571428e+21 4 800000000000000000000 32094 9 900000000000000000000 2 4.573154761904762e+21 4 900000000000000000000 32093 9 900000000000000000000 2 1e+22 4 900000000000000000000 32091 6 1 0 1 1 1 2 1 3 1 4 2 1 0 1 1 1 2 1 3 1 4 4 1 0 1 1 1 2 1 3 1 4 4 1 0 1 1 1 2 1 3 1 4 8 1 0 1 1 1 2 1 3 1 4 stakeFunds 100000000000000000000 3 0 stakeFunds 100000000000000000000 1 0 stakeFunds 100000000000000000000 2 0 stakeFunds 100000000000000000000 2 0 stakeFunds 100000000000000000000 4 0 2739726027397260.5 982440476190476200000 171232876712328.78 796530952380952300000 142949967511371.03 692312698412698400000 142949967511371.03 726435714285714300000 -2.0000005476712332e+23 507693650793650800000
